# Species	Genes	Alg.-Conn.	babesia_bigemina_protein.faa	babesia_bovis_T2Bo_protein.faa	babesia_microti_strain_RI_protein.faa	babesia_ovata_protein.faa	babesia_sp._Xinjiang_protein.faa	besnoitia_besnoiti_protein.faa	cryptosporidium_felis_protein.faa	cryptosporidium_hominis_TU502_protein.faa	cryptosporidium_muris_RN66_protein.faa	cryptosporidium_parvum_Iowa_II_protein.faa	cryptosporidium_ubiquitum_protein.faa	eimeria_acervulina_protein.faa	eimeria_brunetti_protein.faa	eimeria_maxima_protein.faa	eimeria_mitis_protein.faa	eimeria_necatrix_protein.faa	eimeria_praecox_protein.faa	eimeria_tenella_protein.faa	gregarina_niphandrodes_protein.faa	neospora_caninum_Liverpool_protein.faa	plasmodium_berghei_ANKA_protein.faa	plasmodium_chabaudi_protein.faa	plasmodium_coatneyi_protein.faa	plasmodium_cynomolgi_protein.faa	plasmodium_falciparum_protein.faa	plasmodium_fragile_protein.faa	plasmodium_gaboni_protein.faa	plasmodium_gallinaceum_protein.faa	plasmodium_inui_San_Antonio_1_protein.faa	plasmodium_knowlesi_protein.faa	plasmodium_malariae_protein.faa	plasmodium_reichenowi_protein.faa	plasmodium_relictum_protein.faa	plasmodium_sp._gorilla_clade_G2_protein.faa	plasmodium_vinckei_protein.faa	plasmodium_vivax_protein.faa	plasmodium_yoelii_protein.faa	porospora_cf._gigantea_A_protein.faa	porospora_cf._gigantea_B_protein.faa	theileria_annulata_protein.faa	theileria_equi_strain_WA_protein.faa	theileria_orientalis_strain_Shintoku_protein.faa	theileria_parva_strain_Muguga_protein.faa	toxoplasma_gondii_ME49_protein.faa	type	number_of_genoms	number_of_proteins	number_of_genus	function
39	39	0.0425	*	EDO08354.1	CCF75392.1	GBE58768.1	*	PFH34727.1	KAF7456195.1	EAL35847.1	EEA06564.1	EAK87690.1	OII71659.1	*	CDJ49416.1	CDJ58530.1	*	*	CDI73950.1	CDJ39744.1	EZG81694.1	CBZ51622.1	VUC57049.1	CDR14623.1	ANQ08005.1	GAB66102.1	CAB39051.1	KJP84891.1	KYO03347.1	CRG94224.1	EUD67397.1	CAA9987812.1	SCN12201.1	KYO02728.1	CRG99719.1	SOV11077.1	VEV57759.1	EDL44751.1	VTZ79983.1	KAH0472118.1	KAH0471892.1	CAI76715.1	AFZ81544.1	BAM41841.1	KAF5153283.1	EPT31027.1	full_gca_44	39	39	10	survival motor neuron-like protein, putative
39	39	0.0172	CDR94203.1	EDO06470.1	CCF73104.1	*	ORM41688.1	PFH31607.1	KAF7458959.1	EAL36705.1	EEA04877.1	EAK87961.1	OII75401.1	*	*	CDJ58164.1	*	CDJ66199.1	*	CDJ37796.1	EZG55341.1	CBZ49648.1	VUC58214.1	CDR16497.1	ANQ09459.1	GAB68835.1	CAD52315.1	KJP88204.1	KYN96971.1	CRG97560.1	EUD68856.1	CAA9990777.1	SCP03283.1	KYN94611.1	CRH02420.1	SOV17615.1	VEV58930.1	EDL47370.1	VTZ81486.1	KAH0485875.1	KAH0481640.1	CAI74157.1	AFZ80655.1	BAM40578.1	EAN33106.2	EPT32597.1	full_gca_44	39	39	10	U4/U6.U5 tri-snRNP-associated protein 2, putative
31	31	0.107	CDR98111.1	EDO05557.1	CCF75361.2	*	*	*	KAF7459279.1	EAL37152.1	EEA06022.1	EAZ51257.1	OII72099.1	*	*	*	*	*	*	*	EZG57122.1	CBZ56281.1	VUC55941.1	CDS46963.1	ANQ08377.1	GAB66354.1	CZT98736.1	*	KYN98713.1	CRG96128.1	EUD65535.1	CAA9988096.1	SCN12598.1	KYN96405.1	CRG99946.1	SOV15360.1	VEV56254.1	EDL45471.1	VTZ78608.1	*	*	CAI75735.1	EKX72629.1	BAM41051.1	EAN31261.2	EPT25270.1	full_gca_44	31	31	7	U6 snRNA-associated Sm-like protein LSm4, putative
32	32	0.0644	CDR97106.1	*	CCF72713.1	GBE59159.1	*	PFH34048.1	*	*	*	*	*	CDI82894.1	CDJ53041.1	CDJ56131.1	CDJ28786.1	CDJ68865.1	*	*	*	CBZ55033.1	VUC55681.1	CDS47439.1	ANQ08139.1	GAB66618.1	CZT99006.1	KJP90234.1	KYN98980.1	CRG96395.1	EUD67190.1	CAA9988370.1	SCN12861.1	KYN96680.1	CRH00216.1	SOV15894.1	VEV56520.1	EDL45731.1	VTZ78346.1	*	*	CAI74508.1	AFZ79373.1	BAM40203.1	EAN32761.2	EPT26179.1	full_gca_44	32	32	7	conserved Plasmodium protein, unknown function
35	35	0.00714	CDR94067.1	EDO06586.1	CCF76046.1	GBE60746.1	*	PFH36185.1	KAF7458717.1	EAL36718.1	EEA08112.1	EAK88996.1	OII74312.1	CDI80488.1	*	*	*	*	*	CDJ41302.1	*	CBZ50545.1	VUC58475.1	CDR16882.1	ANQ10780.1	GAB69095.1	CZT99425.1	KJP88037.1	KYN98067.1	CRG93570.1	EUD69118.1	CAA9991055.1	SCP03549.1	KYN95370.1	CRH02688.1	SOV16914.1	VEV59190.1	EDL47627.1	VTZ81747.1	*	*	CAI74385.1	AFZ79554.1	BAM40329.1	EAN32883.1	EPT31558.1	full_gca_44	35	35	8	proliferating cell nuclear antigen 2, putative
38	38	0.0182	CDR96707.1	EDO08284.1	CCF75458.1	*	ORM40019.1	PFH32077.1	KAF7456171.1	EAL38142.1	EEA07870.1	EAK88563.1	*	CDI76970.1	*	*	*	CDJ64507.1	*	CDJ44274.1	EZG51578.1	CBZ51138.1	VUC53915.1	CDR10650.1	ANQ06063.1	GAB64579.1	CAD49053.1	KJP85345.1	KYN95119.1	CRG93348.1	EUD64735.1	CAA9986309.1	SBT87100.1	KYO03423.1	CRH03051.1	SOV10247.1	VEV54602.1	EDL43810.1	VTZ71694.1	KAH0477653.1	KAH0478950.1	CAI76641.1	AFZ81285.1	BAM41927.1	EAN31976.2	EPT27986.1	full_gca_44	38	38	10	N-acetyltransferase, putative
22	22	0.0134	*	*	*	*	*	PFH36001.1	*	*	*	*	*	*	*	*	*	*	*	*	*	CBZ51362.1	VUC57463.1	CDR15295.1	ANQ10319.1	GAB68144.1	CZU00138.1	KJP87747.1	KYN96035.1	CRG94637.1	EUD69483.1	CAA9989708.1	SCO94130.1	KYN94095.1	CRH01484.1	SOV19378.1	VEV58161.1	EDL46223.1	VTZ80497.1	KAH0481888.1	KAH0487014.1	*	*	*	*	EPT29910.1	full_gca_44	22	22	5	calmodulin-like protein
29	29	0.0284	CDR98007.1	EDO05792.1	SIO73325.1	GBE62506.1	ORM41286.1	PFH32329.1	*	*	*	*	*	*	*	*	*	*	*	*	*	CBZ50698.1	VUC57161.1	CDR14784.1	ANQ05814.1	GAB64495.1	CAD51322.1	KJP85374.1	KYO00645.1	CRG93101.1	EUD66580.1	CAA9986229.1	SBT86982.1	KYN99146.1	CRG98487.1	SOV13416.1	VEV57873.1	EDL42916.1	VTZ80095.1	*	*	CAI75677.1	EKX72729.1	BAM41129.1	EAN31203.2	EPT31394.1	full_gca_44	29	29	6	methionine aminopeptidase 1c, putative
25	25	0.0974	*	EDO05726.1	*	GBE62160.1	ORM40621.1	PFH31798.1	*	*	EEA06465.1	*	*	*	*	*	*	*	*	*	*	CBZ49824.1	VUC55512.1	CDR12899.1	ANQ07553.1	GAB65915.1	CAD52018.1	KJP86768.1	KYO00321.1	CRG96893.1	EUD64687.1	CAA9987621.1	SBT87998.1	KYN98642.1	CRG99557.1	SOV14516.1	VEV56166.1	EDL42320.1	VTZ77768.1	*	*	*	AFZ80467.1	*	*	EPT32390.1	full_gca_44	25	25	7	conserved Plasmodium protein, unknown function
25	25	0.0199	CDR95698.1	EDO06967.1	SJK85898.1	GBE59607.1	ORM39754.1	PFH31937.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	VUC57767.1	CDR15761.1	ANQ09481.1	*	CAX64310.1	*	KYN97029.1	CRG94951.1	EUD69167.1	CAA9989385.1	SCO93821.1	KYN94672.1	CRH01170.1	SOV17728.1	VEV58470.1	EDL45912.1	VTZ80806.1	*	*	CAI73655.1	*	BAM38904.1	KAF5153376.1	EPT32249.1	full_gca_44	25	25	5	conserved Plasmodium protein, unknown function
32	32	0.0226	CDR94356.1	*	CTQ41418.1	*	*	*	KAF7456505.1	EAL35908.1	EEA05366.1	EAZ51474.1	OII73747.1	*	CDJ46806.1	*	*	*	*	CDJ39688.1	*	CBZ50708.1	VUC56046.1	CDU21533.1	ANQ06189.1	GAB64736.1	CAB62849.2	KJP88354.1	KYO02780.1	CRG98143.1	EUD65025.1	CAA9986480.1	SBT86220.1	KYO02053.1	CRG98559.1	SOV11223.1	VEV55892.1	EDL43623.1	VTZ78798.1	*	*	CAI73240.1	EKX73984.1	BAM39350.1	EAN34097.2	EPT31385.1	full_gca_44	32	32	7	peptidyl-tRNA hydrolase 2, putative
34	34	0.00313	CDR95480.1	EDO05336.1	CCF73610.1	GBE61338.1	*	PFH36844.1	*	*	EEA05689.1	*	*	CDI77340.1	CDJ52707.1	CDJ59916.1	*	CDJ63055.1	*	CDJ42383.1	*	CBZ50810.1	VUC55440.1	CDR12796.1	ANQ07515.1	GAB65847.1	CAD51954.1	KJP87442.1	KYO00255.1	CRG96820.1	EUD68095.1	CAA9987546.1	SBT87926.1	KYN98563.1	CRG99484.1	SOV14441.1	VEV56096.1	EDL45083.1	VTZ77624.1	*	*	CAI75315.1	EKX73611.1	BAM41521.1	EAN30814.1	EPT27591.1	full_gca_44	34	34	8	fumarate hydratase, putative
30	30	0.022	*	*	*	*	*	PFH38636.1	*	*	*	*	*	CDI76872.1	CDJ53565.1	CDJ59981.1	CDJ35713.1	CDJ64621.1	CDI86936.1	CDJ40763.1	EZG65910.1	CBZ53391.1	VUC54250.1	CDR11179.1	ANQ07836.1	GAB66291.1	CAB38992.3	KJP85221.1	KYO03159.1	CRG95268.1	EUD65726.1	CAA9988029.1	SCN12392.1	KYO02539.1	CRG99887.1	SOV10696.1	VEV54938.1	EDL43335.1	VTZ73198.1	KAH0477746.1	KAH0472362.1	*	*	*	*	EPT28926.1	full_gca_44	30	30	7	inner membrane complex protein 1a, putative
40	40	0.0419	CDR94243.1	EDO07168.1	CTQ40739.1	GBE60595.1	ORM42024.1	PFH36268.1	KAF7456900.1	EAL36889.1	EEA08409.1	EAK90095.1	OII73441.1	CDI79071.1	*	CDJ60445.1	*	CDJ64230.1	*	CDJ37008.1	EZG56103.1	CBZ50617.1	VUC55806.1	CDS47167.1	ANQ08034.1	GAB66492.1	CZT98879.1	KJP87657.1	KYN98858.1	CRG96265.1	EUD65426.1	CAA9988241.1	SCN12736.1	KYN96549.1	CRH00085.1	SOV15643.1	VEV56387.1	EDL45607.1	VTZ78475.1	KAH0479884.1	KAH0475786.1	CAI73135.1	*	BAM39454.1	EAN34199.2	EPT31481.1	full_gca_44	40	40	10	ABC transporter F family member 2, putative
27	28	0.113	CDR97370.1	*	CCF75523.2	GBE58612.1	ORM39950.1	*	*	*	*	*	*	*	*	*	*	*	*	CDJ44637.1	*	*	VUC56722.1	CDR14088.1	ANQ09079.1	GAB67246.1	CAD52656.1	*	KYN97304.1	CRG93891.1	EUD68626.1	CAA9989010.1	SCO93072.1	KYN94958.1	CRH00823.1	SOV18330.1	VEV57427.1	EDL46594.1	VTZ79588.1	KAH0486952.1	KAH0483469.1,KAH0483470.1	CAI76829.1	AFZ81664.1	BAM41726.1	EAN32177.1	*	full_gca_44	27	28	5	RNA polymerase II transcription factor B subunit 4, putative
29	30	0.193	CDR95609.1	EDO05423.1	SJK86186.1	GBE61224.1	ORM41147.1,ORM41103.1	*	*	*	*	*	*	*	*	*	*	CDJ62252.1	*	CDJ37197.1	*	CBZ51033.1	VUC54959.1	CDS47494.1	ANQ06787.1	GAB65120.1	CAX64160.1	KJP89525.1	KYO00860.1	CRG93500.1	EUD67101.1	CAA9990254.1	SBT87323.1	KYN99361.1	CRH03739.1	SOV13821.1	VEV55655.1	EDL45161.1	VTZ76249.1	*	*	CAI75412.1	EKX72546.1	BAM41398.1	EAN30926.1	*	full_gca_44	29	30	5	apicoplast ribosomal protein L21 precursor, putative
22	22	0.069	*	*	*	*	*	PFH33008.1	*	*	*	*	*	*	*	CDJ56453.1	CDJ33778.1	*	*	*	*	CBZ51797.1	VUC58489.1	CDR16902.1	ANQ10835.1	GAB69110.1	CZT99440.1	KJP88053.1	KYN98082.1	CRG93585.1	EUD69132.1	CAA9991070.1	SCP03564.1	KYN95385.1	CRH02703.1	SOV16929.1	VEV59204.1	EDL47642.1	VTZ81761.1	*	*	*	*	*	*	EPT30807.1	full_gca_44	22	22	5	leucine-rich repeat protein
26	26	0.0869	*	*	*	*	*	PFH37879.1	*	*	*	*	*	CDI76038.1	CDJ47489.1	CDJ60714.1	CDJ35956.1	CDJ62651.1	*	CDJ42605.1	*	CBZ52789.1	VUC56314.1	CDU21801.1	ANQ10569.1	GAB68585.1	CZT99816.1	KJP85457.1	KYN95719.1	CRG95627.1	EUD65778.1	CAA9990500.1	SCP02829.1	KYN93766.1	CRH04029.1	SOV18728.1	VEV57024.1	EDL47118.1	VTZ79066.1	*	*	*	*	*	*	EPT29594.1	full_gca_44	26	26	5	ankyrin-repeat protein, putative
36	36	0.0779	CDR95864.1	EDO06841.1	CCF73322.1	*	ORM39740.1	PFH38167.1	KAF7459137.1	EAL37280.1	EEA05209.1	EAK89284.1	OII70784.1	*	*	*	*	*	*	CDJ37452.1	EZG55236.1	CBZ56008.1	VUC56537.1	CDR13812.1	ANQ08571.1	GAB66947.1	CAX63956.1	KJP85577.1	KYO02315.1	CRG97896.1	EUD68242.1	CAA9988722.1	SCN44954.1	KYO01548.1	CRH00548.1	SOV11637.1	VEV57243.1	EDL44109.1	VTZ79404.1	*	KAH0474401.1	CAI73782.1	AFZ80323.1	BAM38779.1	EAN33511.1	EPT25001.1	full_gca_44	36	36	10	prefoldin subunit 6, putative
26	26	0.211	CDR94663.1	EDO07493.1	SJK86693.1	GBE60186.1	ORM39492.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	VUC56647.1	CDR13975.1	ANQ09151.1	GAB67321.1	CAG25049.1	KJP88145.1	KYO01932.1	CRG93813.1	EUD68550.1	CAA9989093.1	SCO93148.1	KYO01116.1	CRH00901.1	SOV12646.1	VEV57352.1	EDL46521.1	VTZ79513.1	*	*	CAI72931.1	EKX74258.1	BAM39655.1	EAN34403.1	*	full_gca_44	26	26	3	ATP-dependent RNA helicase SUV3, putative
27	30	0.274	*	*	SIO73629.1	*	*	PFH31475.1	KAF7457343.1	*	EEA04896.1	*	OII75381.1	CDI79573.1	CDJ48731.1	CDJ57705.1	*	*	*	*	*	CBZ56229.1	VUC55088.1	CDR12227.1	ANQ06859.1	GAB65255.1	CAX63920.1,CZT62498.1	KJP89121.1	KYO02834.1,KYO02833.1	CRG93172.1	EUD66965.1	CAA9986945.1	SBT87432.1	KYO02107.1,KYO02106.1	CRG98936.1	SOV11402.1	VEV55784.1	*	VTZ76506.1	*	*	*	*	*	KAF5153277.1	EPT25209.1	full_gca_44	27	30	8	calmodulin-like protein
40	40	0.0576	CDR96731.1	EDO08298.1	SIO73635.1	GBE58824.1	ORM39906.1	PFH32728.1	KAF7457595.1	*	EEA07900.1	EAK88557.1	*	CDI76899.1	CDJ48630.1	*	CDJ33698.1	CDJ65618.1	CDI83591.1	CDJ40630.1	*	CBZ50314.1	VUC54235.1	CDR11155.1	ANQ07789.1	GAB66306.1	CAB10568.1	KJP85672.1	KYO03143.1	CRG95252.1	EUD64547.1	CAA9988044.1	SCN12408.1	KYO02523.1	CRG99903.1	SOV10659.1	VEV54923.1	EDL43320.1	VTZ73168.1	KAH0476347.1	KAH0476850.1	CAI76660.1	AFZ81263.1	BAM41906.1	EAN31997.1	EPT31812.1	full_gca_44	40	40	9	serine/threonine protein kinase, putative
35	35	0.00529	CDR95614.1	EDO05428.1	CCF73989.1	*	ORM41107.1	PFH38504.1	KAF7456299.1	EAL35324.1	EEA04798.1	EAK87314.1	OII70895.1	*	CDJ51294.1	*	*	CDJ66491.1	*	CDJ40425.1	EZG51579.1	CBZ53518.1	VUC56773.1	CDR14165.1	ANQ08979.1	GAB67196.1	CAX64367.1	KJP87276.1	KYN97353.1	CRG93946.1	EUD68677.1	CAA9988953.1	SCO93020.1	KYN95005.1	CRH00770.1	SOV18409.1	VEV57478.1	EDL46645.1	VTZ79639.1	KAH0487034.1	KAH0479378.1	*	*	*	*	EPT28784.1	full_gca_44	35	35	9	GTP-binding protein, putative
40	40	0.0118	CDR94071.1	EDO06582.1	SJK86023.1	GBE60743.1	*	PFH32859.1	KAF7457562.1	EAL35336.1	EEA06551.1	EAK87734.1	OII72379.1	CDI77818.1	CDJ51465.1	CDJ57722.1	*	CDJ68092.1	*	CDJ43725.1	EZG44861.1	*	VUC56065.1	CDU21552.1	ANQ06283.1	GAB64755.1	CAX63918.1	KJP88335.1	KYO02799.1	CRG98162.1	EUD65046.1	CAA9986499.1	SBT86239.1	KYO02072.1	CRG98578.1	SOV11279.1	VEV55911.1	EDL43604.1	VTZ78817.1	KAH0484189.1	KAH0486486.1	CAI74389.1	AFZ79550.1	BAM40325.1	KAF5153660.1	EPT30531.1	full_gca_44	40	40	9	U4/U6 small nuclear ribonucleoprotein PRP31, putative
33	34	0.139	CDR96798.1	EDO08269.1	SIO73647.1	GBE58869.1,GBE58866.1	ORM40052.1	PFH33215.1	KAF7457832.1	*	EEA06879.1	EAZ51562.1	OII73943.1	*	*	*	*	*	*	*	EZG43112.1	CBZ53037.1	VUC56657.1	CDR13989.1	ANQ08932.1	*	CAG25059.3	*	KYO01942.1	CRG93823.1	EUD68559.1	CAA9989083.1	SCO93138.1	KYO01127.1	CRH00891.1	SOV12656.1	VEV57362.1	*	VTZ79523.1	KAH0477387.1	KAH0487004.1	CAI76633.1	AFZ81294.1	BAM41937.1	EAN31967.2	EPT29318.1	full_gca_44	33	34	9	N-acetylglucosaminylphosphatidylinositol deacetylase, putative
30	30	0.0104	*	*	CCF73284.1	*	*	PFH32726.1	KAF7458644.1	*	EEA07200.1	EAZ51444.1	OII74238.1	CDI82955.1	*	*	*	CDJ64495.1	*	CDJ43379.1	*	CBZ50317.1	VUC54529.1	CDS45956.1	ANQ07055.1	GAB65485.1	CZT98530.1	KJP85085.1	KYN99654.1	CRG97289.1	EUD66208.1	CAA9987170.1	SCN45074.1	*	CRG99137.1	SOV15072.1	VEV55237.1	EDL42469.1	VTZ74258.1	*	KAH0486538.1	CAI73821.1	AFZ80374.1	*	*	EPT31809.1	full_gca_44	30	30	9	topoisomerase, putative
23	23	0.0279	CDR97297.1	EDO08421.1	*	GBE58678.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	VUC54577.1	CDS46010.1	ANQ07186.1	GAB65537.1	CZT98583.1	KJP86696.1	KYN99706.1	CRG97341.1	EUD66159.1	CAA9987224.1	SCN45172.1	KYN97783.1	CRG99188.1	SOV15181.1	VEV55284.1	EDL42420.1	VTZ74354.1	*	*	CAI76774.1	*	BAM41781.1	EAN32118.2	*	full_gca_44	23	23	3	conserved protein, unknown function
23	23	0.169	CDR95640.1	EDO05445.1	CCF73966.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	VUC57957.1	CDR16043.1	ANQ09541.1	GAB67629.1	CAX64346.1	KJP85911.1	KYN97210.1	CRG95146.1	EUD67737.1	CAA9989899.1	SCO93621.1	KYN94863.1	CRH01652.1	SOV18142.1	VEV58660.1	EDL44491.1	VTZ80995.1	*	*	CAI73609.1	AFZ80057.1	BAM38958.1	*	*	full_gca_44	23	23	3	aminomethyltransferase, putative
42	42	0.00652	CDR97996.1	EDO05802.1	SIO73318.1	GBE62514.1	ORM41309.1	PFH32860.1	KAF7456282.1	EAL34973.1	EEA06612.1	EAK87723.1	OII71704.1	CDI80546.1	CDJ52485.1	CDJ57549.1	CDJ29249.1	*	CDI73842.1	*	EZG51419.1	CBZ52081.1	VUC54702.1	CDR11530.1	ANQ06492.1	GAB68251.1	CZT99201.1	KJP88276.1	KYN97856.1	CRG95967.1	EUD65168.1	CAA9990075.1	SCP02493.1	KYN95150.1	CRH03670.1	SOV16478.1	VEV55407.1	EDL46786.1	VTZ75184.1	KAH0482501.1	KAH0483615.1	CAI75657.1	EKX72756.1	BAM41144.1	EAN31184.1	EPT30532.1	full_gca_44	42	42	10	nucleosome assembly protein, putative
27	28	0.182	CDR95448.1	EDO05246.1	SJK86710.1	GBE61371.1	ORM40448.1	PFH36649.1	KAF7457252.1	EAL35059.1	EEA04996.1	EAK88121.1	OII75293.1	CDI76070.1	CDJ49447.1	CDJ60782.1	CDJ28449.1	CDJ67748.1	CDI75899.1	CDJ45026.1	EZG65035.1	CBZ50937.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	KAH0478377.1,KAH0478378.1	KAH0480041.1	CAI74006.1	AFZ80605.1	BAM38544.1	EAN33259.1	EPT27751.1	full_gca_44	27	28	9	hypothetical protein, conserved
41	41	0.041	CDR95041.1	EDO06155.1	CCF73032.1	GBE61745.1	ORM41467.1	PFH33826.1	KAF7459113.1	EAL36737.1	EEA05285.1	EAK90305.1	OII74834.1	CDI79339.1	CDJ46661.1	CDJ57372.1	CDJ36068.1	CDJ67023.1	CDI85770.1	CDJ42047.1	*	CBZ50029.1	VUC55678.1	CDS47446.1	ANQ08300.1	GAB66622.1	CZT99010.1	KJP90239.1	KYN98984.1	CRG96399.1	EUD67194.1	CAA9988374.1	SCN12865.1	KYN96684.1	CRH00220.1	SOV15903.1	VEV56523.1	EDL45735.1	VTZ78343.1	*	*	CAI76376.1	AFZ81234.1	BAM42156.1	KAF5153228.1	EPT31991.1	full_gca_44	41	41	8	coatomer delta subunit, putative
24	24	0.112	*	*	*	*	*	*	KAF7457864.1	EAL37305.1	EEA06659.1	EAK88822.1	OII71723.1	*	*	*	*	*	*	*	*	*	VUC55255.1	CDR12517.1	ANQ07333.1	GAB65659.1	CAX64203.1	KJP89426.1	KYO00073.1	CRG96630.1	EUD67907.1	CAA9987353.1	SBT87738.1	KYN98373.1	CRG99293.1	SOV14036.1	VEV56772.1	EDL44893.1	VTZ77254.1	KAH0488009.1	KAH0476036.1	*	*	*	*	*	full_gca_44	24	24	3	conserved protein, unknown function
31	32	0.222	CDR71771.1,CDR97518.1	EDO05539.1	SIO73580.1	GBE62398.1	ORM42299.1	PFH32345.1	*	*	*	*	*	*	*	*	*	CDJ69979.1	*	CDJ41089.1	*	CBZ50682.1	VUC58391.1	CDR16757.1	ANQ10821.1	GAB69008.1	CZT99334.1	KJP87207.1	KYN97984.1	CRG97741.1	EUD69031.1	CAA9990965.1	SCP03462.1	KYN95283.1	CRH02601.1	SOV16775.1	VEV59107.1	EDL47542.1	VTZ81663.1	*	*	CAI75722.1	EKX73313.1	BAM41037.1	EAN31247.2	EPT31410.1	full_gca_44	31	32	7	GTP-binding protein, putative
29	29	0.039	*	*	SIO73863.1	*	*	PFH37296.1	*	*	*	*	*	CDI80545.1	*	*	*	*	*	*	EZG81338.1	CBZ53773.1	VUC57786.1	CDR15788.1	ANQ09625.1	GAB67814.1	CAD52396.1	KJP89924.1	KYN97047.1	CRG94970.1	EUD69148.1	CAA9989366.1	SCO93802.1	KYN94688.1	CRH01151.1	SOV17768.1	VEV58489.1	EDL45894.1	VTZ80825.1	KAH0474068.1	KAH0482599.1	CAI73637.1	AFZ80128.1	BAM38925.1	KAF5153385.1	EPT28508.1	full_gca_44	29	29	9	dihydrofolate synthase/folylpolyglutamate synthase, putative
35	35	0.0387	CDR95056.1	EDO06174.1	CCF72907.1	GBE61726.1	ORM41400.1	PFH33871.1	*	*	*	*	*	*	CDJ50122.1	CDJ58394.1	CDJ31884.1	CDJ66904.1	CDI87419.1	CDJ42353.1	*	CBZ49995.1	VUC58140.1	CDR16389.1	ANQ09386.1	GAB68763.1	CAD52231.1	KJP90054.1	KYN96897.1	CRG97484.1	EUD68783.1	CAA9990699.1	SCP03209.1	KYN94537.1	CRH02344.1	SOV17454.1	VEV58857.1	EDL47298.1	VTZ81412.1	*	*	CAI76393.1	AFZ81215.1	BAM42172.1	EAN31703.2	EPT31948.1	full_gca_44	35	35	7	ribosomal RNA methyltransferase, putative
36	36	0.0739	CDR94333.1	EDO07249.1	CTQ40770.1	GBE60510.1	ORM39526.1	PFH35555.1	KAF7458736.1	*	EEA08125.1	EAK88980.1	OII74330.1	*	*	*	*	CDJ66332.1	*	*	*	CBZ53972.1	VUC57942.1	CDR16020.1	ANQ10334.1	GAB67645.1	CAD52554.1	KJP85251.1	KYN97194.1	CRG95130.1	EUD67721.1	CAA9989915.1	SCO93637.1	KYN94847.1	CRH01668.1	SOV18107.1	VEV58645.1	EDL44476.1	VTZ80980.1	KAH0484396.1	KAH0486872.1	CAI73216.1	EKX74019.1	BAM39372.1	KAF5153463.1	EPT28270.1	full_gca_44	36	36	9	casein kinase II beta chain, putative
30	30	0.26	CDR97681.1	EDO07005.1	SJK86438.1	GBE62248.1	ORM40550.1	*	KAF7458510.1	EAL35456.1	EEA05743.1	EAZ51498.1	OII72965.1	*	*	*	*	*	*	*	*	*	VUC57041.1	CDR14612.1	ANQ07612.1	*	CZT98411.1	KJP86243.1	KYN99537.1	CRG94216.1	EUD67407.1	CAA9987802.1	SCN12193.1	KYN97611.1	CRG99711.1	SOV14821.1	VEV57751.1	EDL44743.1	VTZ79975.1	*	*	CAI72896.1	EKX74382.1	BAM39682.1	EAN34434.2	*	full_gca_44	30	30	4	ribonucleotide reductase small subunit, putative
41	41	0.00938	CDR94080.1	EDO06573.1	SIO73210.1	GBE60734.1	ORM41755.1	PFH31087.1	KAF7459201.1	EAL38467.1	EEA07301.1	EAK89111.1	OII70847.1	CDI83553.1	*	CDJ56855.1	*	CDJ66088.1	*	CDJ41426.1	EZG56106.1	CBZ53709.1	VUC55974.1	CDS46930.1	ANQ08213.1	GAB66322.1	CZT98702.1	KJP86832.1	KYN98681.1	CRG96095.1	EUD65502.1	CAA9988063.1	SCN12566.1	KYN96370.1	CRG99912.1	SOV15297.1	VEV56221.1	EDL45440.1	VTZ78641.1	KAH0484397.1	KAH0486871.1	CAI74399.1	AFZ79539.1	BAM40315.1	EAN32867.2	EPT28581.1	full_gca_44	41	41	10	casein kinase II beta chain, putative
36	36	0.00888	CDR98070.1	EDO05757.1	SIO73288.1	GBE62445.1	ORM42314.1	PFH31310.1	*	*	*	*	*	CDI83165.1	CDJ50721.1	CDJ61786.1	CDJ26843.1	*	CDI75554.1	CDJ45268.1	EZG43526.1	CBZ56293.1	VUC57556.1	CDR15437.1	ANQ10150.1	GAB68049.1	CZU00233.1	KJP86912.1	KYN96127.1	CRG94733.1	EUD69384.1	CAA9989611.1	SCO94035.1	KYN94188.1	CRH01388.1	SOV19567.1	VEV58253.1	EDL46125.1	VTZ80590.1	*	*	CAI75777.1	EKX72685.1	BAM41086.1	EAN31303.1	EPT25283.1	full_gca_44	36	36	8	glucose-6-phosphate dehydrogenase-6-phosphogluconolactonase, putative
30	30	0.0265	CDR93776.1	EDO08647.1	CCF75602.1	GBE61063.1	*	*	*	*	*	*	*	CDI82088.1	CDJ53830.1	CDJ58991.1	*	CDJ64433.1	*	*	*	CBZ55315.1	VUC56042.1	CDU21529.1	ANQ06175.1	GAB64732.1	CAD49160.1	KJP88358.1	KYO02776.1	CRG98139.1	EUD65021.1	CAA9986476.1	SBT86216.1	KYO02048.1	CRG98555.1	SOV11214.1	VEV55888.1	EDL43627.1	VTZ78794.1	*	*	CAI74925.1	AFZ78936.1	BAM39761.1	EAN32333.1	*	full_gca_44	30	30	5	ribosomal protein L25, putative
