# Species	Genes	Alg.-Conn.	GCF_000956335.1_Plas_frag_nilgiri_V1_protein.faa	GCF_001680005.1_ASM168000v1_protein.faa	GCF_900002335.2_PCHAS01_protein.faa	GCF_900005855.1_PGAL8A_protein.faa	GCF_900090045.1_PmUG01_protein.faa
5	5	0.744	XP_012335297.1	XP_019915715.1	XP_016653985.1	XP_028526618.1	XP_028862603.1
5	5	0.931	XP_012335294.1	XP_019915765.1	XP_016653984.1	XP_028526615.1	XP_028862606.1
5	5	0.931	XP_012335289.1	XP_019916003.1	XP_016653983.1	XP_028526609.1	XP_028862612.1
5	5	0.857	XP_012335285.1	XP_019915698.1	XP_016653981.1	XP_028526605.1	XP_028862616.1
5	5	0.854	XP_012335281.1	XP_019915782.1	XP_016653980.1	XP_028526601.1	XP_028862620.1
5	5	0.782	XP_012335277.1	XP_019915853.1	XP_016653978.1	XP_028526597.1	XP_028862624.1
5	5	0.715	XP_012335272.1	XP_019915721.1	XP_016653977.1	XP_028526592.1	XP_028862629.1
5	5	0.574	XP_012334574.1	XP_019915450.1	XP_016653921.1	XP_028530636.1	XP_028859845.1
5	5	0.891	XP_012334609.1	XP_019915477.1	XP_016653933.1	XP_028530669.1	XP_028859812.1
5	5	0.823	XP_012334608.1	XP_019915338.1	XP_016653932.1	XP_028530668.1	XP_028859813.1
5	5	0.738	XP_012334607.1	XP_019915237.1	XP_016653931.1	XP_028530667.1	XP_028859814.1
5	5	0.918	XP_012334597.1	XP_019915276.1	XP_016653929.1	XP_028530657.1	XP_028859824.1
5	5	0.886	XP_012334591.1	XP_019915246.1	XP_016653928.1	XP_028530653.1	XP_028859829.1
5	5	0.947	XP_012334582.1	XP_019915263.1	XP_016653926.1	XP_028530644.1	XP_028859838.1
4	4	0.865	XP_012334580.1	XP_019915259.1	XP_016653925.1	XP_028530642.1	*
4	4	0.816	XP_012334578.1	*	XP_016653923.1	XP_028530640.1	XP_028859841.1
5	5	0.868	XP_012334575.1	XP_019915221.1	XP_016653922.1	XP_028530637.1	XP_028859844.1
5	5	0.498	XP_012334612.1	XP_019915374.1	XP_016653934.1	XP_028530672.1	XP_028859809.1
5	5	0.891	XP_012334573.1	XP_019915350.1	XP_016653920.1	XP_028530635.1	XP_028859846.1
5	5	0.839	XP_012334572.1	XP_019915252.1	XP_016653919.1	XP_028530634.1	XP_028859847.1
5	5	0.885	XP_012334569.1	XP_019915474.1	XP_016653918.1	XP_028530632.1	XP_028859850.1
5	5	0.924	XP_012334568.1	XP_019915222.1	XP_016653917.1	XP_028530631.1	XP_028859851.1
5	5	0.757	XP_012334565.1	XP_019915528.1	XP_016653916.1	XP_028530628.1	XP_028859854.1
5	5	0.803	XP_012334562.1	XP_019915322.1	XP_016653915.1	XP_028530626.1	XP_028859856.1
5	5	0.764	XP_012334556.1	XP_019915232.1	XP_016653914.1	XP_028530620.1	XP_028859862.1
5	5	0.904	XP_012334555.1	XP_019915481.1	XP_016653913.1	XP_028530619.1	XP_028859863.1
5	5	0.841	XP_012337825.1	XP_019915266.1	XP_016653945.1	XP_028530695.1	XP_028862101.1
5	5	0.821	XP_012336219.1	XP_019915314.1	XP_016653953.1	XP_028530711.1	XP_028862086.1
5	5	0.709	XP_012336217.1	XP_019915393.1	XP_016653952.1	XP_028530709.1	XP_028862088.1
5	5	0.835	XP_012336216.1	XP_019915331.1	XP_016653951.1	XP_028530708.1	XP_028862089.1
5	5	0.831	XP_012336214.1	XP_019915345.1	XP_016653950.1	XP_028530706.1	XP_028862091.1
5	5	0.812	XP_012336211.1	XP_019915244.1	XP_016653949.1	XP_028530703.1	XP_028862094.1
5	5	0.785	XP_012336210.1	XP_019915267.1	XP_016653948.1	XP_028530701.1	XP_028862095.1
5	5	0.7	XP_012337830.1	XP_019915300.1	XP_016653947.1	XP_028530700.1	XP_028862096.1
4	4	0.77	XP_012337826.1	*	XP_016653946.1	XP_028530696.1	XP_028862100.1
5	5	0.883	XP_012337392.1	XP_019914323.1	XP_016654195.1	XP_028526998.1	XP_028861125.1
5	5	0.891	XP_012337823.1	XP_019915286.1	XP_016653944.1	XP_028530693.1	XP_028862103.1
5	5	0.876	XP_012337822.1	XP_019915512.1	XP_016653943.1	XP_028530692.1	XP_028862104.1
5	5	0.537	XP_012337820.1	XP_019915326.1	XP_016653942.1	XP_028530690.1	XP_028862106.1
4	4	0.278	XP_012337819.1	XP_019915411.1	XP_016653941.1	*	XP_028862107.1
5	5	0.738	XP_012337818.1	XP_019915333.1	XP_016653940.1	XP_028530687.1	XP_028862108.1
5	5	0.844	XP_012337814.1	XP_019915496.1	XP_016653939.1	XP_028530683.1	XP_028859799.1
5	5	0.652	XP_012334616.1	XP_019915262.1	XP_016653937.1	XP_028530675.1	XP_028859806.1
5	5	0.881	XP_012334615.1	XP_019915245.1	XP_016653936.1	XP_028530674.1	XP_028859807.1
5	5	0.706	XP_012335658.1	XP_019916770.1	XP_016654440.1	XP_028527420.1	XP_028863438.1
5	5	0.854	XP_012335677.1	XP_019916084.1	XP_016654454.1	XP_028527439.1	XP_028863419.1
5	5	0.844	XP_012335676.1	XP_019916321.1	XP_016654453.1	XP_028527438.1	XP_028863420.1
5	5	0.962	XP_012335673.1	XP_019916157.1	XP_016654450.1	XP_028527435.1	XP_028863423.1
5	5	0.81	XP_012335669.1	XP_019916735.1	XP_016654449.1	XP_028527431.1	XP_028863427.1
5	5	0.848	XP_012335668.1	XP_019916937.1	XP_016654448.1	XP_028527430.1	XP_028863428.1
5	5	0.796	XP_012335667.1	XP_019916584.1	XP_016654447.1	XP_028527429.1	XP_028863429.1
5	5	0.82	XP_012335666.1	XP_019916710.1	XP_016654446.1	XP_028527428.1	XP_028863430.1
5	5	0.828	XP_012335663.1	XP_019916267.1	XP_016654444.1	XP_028527425.1	XP_028863433.1
5	5	0.811	XP_012335660.1	XP_019916795.1	XP_016654442.1	XP_028527422.1	XP_028863436.1
5	5	0.906	XP_012335680.1	XP_019916141.1	XP_016654455.1	XP_028527442.1	XP_028863416.1
5	5	0.892	XP_012335657.1	XP_019916437.1	XP_016654439.1	XP_028527419.1	XP_028863439.1
5	5	0.893	XP_012335656.1	XP_019916252.1	XP_016654438.1	XP_028527418.1	XP_028863440.1
5	5	0.799	XP_012335654.1	XP_019916388.1	XP_016654437.1	XP_028527416.1	XP_028863442.1
5	5	0.911	XP_012335652.1	XP_019916504.1	XP_016654436.1	XP_028527414.1	XP_028863444.1
5	5	0.833	XP_012335651.1	XP_019916953.1	XP_016654434.1	XP_028527412.1	XP_028863445.1
5	5	0.814	XP_012335646.1	XP_019916639.1	XP_016654432.1	XP_028527408.1	XP_028863450.1
5	5	0.736	XP_012335645.1	XP_019916907.1	XP_016654431.1	XP_028527407.1	XP_028863451.1
5	5	0.634	XP_012335640.1	XP_019916315.1	XP_016654430.1	XP_028527402.1	XP_028863456.1
5	5	0.848	XP_012335695.1	XP_019916723.1	XP_016654464.1	XP_028527458.1	XP_028863401.1
5	5	0.902	XP_012337452.1	XP_019916934.1	XP_016654474.1	XP_028527477.1	XP_028863382.1
5	5	0.609	XP_012337454.1	XP_019916219.1	XP_016654473.1	XP_028527475.1	XP_028863384.1
5	5	0.278	XP_012337458.1	XP_019917071.1	XP_016654471.1	XP_028527471.1	XP_028863388.1
5	5	0.873	XP_012337459.1	XP_019916789.1	XP_016654470.1	XP_028527470.1	XP_028863389.1
5	5	0.69	XP_012337460.1	XP_019916621.1	XP_016654469.1	XP_028527469.1	XP_028863390.1
5	5	0.778	XP_012337462.1	XP_019916887.1	XP_016654468.1	XP_028527467.1	XP_028863392.1
5	5	0.86	XP_012335700.1	XP_019916679.1	XP_016654467.1	XP_028527463.1	XP_028863396.1
5	5	0.633	XP_012335697.1	XP_019916393.1	XP_016654466.1	XP_028527460.1	XP_028863399.1
5	5	0.816	XP_012335696.1	XP_019917013.1	XP_016654465.1	XP_028527459.1	XP_028863400.1
5	5	0.901	XP_012335639.1	XP_019917065.1	XP_016654429.1	XP_028527401.1	XP_028863457.1
5	5	0.916	XP_012335692.1	XP_019916825.1	XP_016654463.1	XP_028527454.1	XP_028863404.1
5	5	0.822	XP_012335690.1	XP_019917014.1	XP_016654462.1	XP_028527452.1	XP_028863406.1
5	5	0.858	XP_012335689.1	XP_019916150.1	XP_016654461.1	XP_028527451.1	XP_028863407.1
5	5	0.908	XP_012335688.1	XP_019916211.1	XP_016654460.1	XP_028527450.1	XP_028863408.1
5	5	0.841	XP_012335685.1	XP_019916175.1	XP_016654459.1	XP_028527447.1	XP_028863411.1
5	5	0.938	XP_012335684.1	XP_019916904.1	XP_016654458.1	XP_028527446.1	XP_028863412.1
5	5	0.92	XP_012335683.1	XP_019916149.1	XP_016654457.1	XP_028527445.1	XP_028863413.1
5	5	0.819	XP_012335681.1	XP_019916600.1	XP_016654456.1	XP_028527443.1	XP_028863415.1
5	5	0.707	XP_012338063.1	XP_019915367.1	XP_016654365.1	XP_028525864.1	XP_028861948.1
5	5	0.78	XP_012337705.1	XP_019915396.1	XP_016654376.1	XP_028525885.1	XP_028861928.1
5	5	0.831	XP_012337706.1	XP_019915247.1	XP_016654375.1	XP_028525884.1	XP_028861929.1
5	5	0.679	XP_012337707.1	XP_019915346.1	XP_016654374.1	XP_028525883.1	XP_028861930.1
5	5	0.816	XP_012337709.1	XP_019915196.1	XP_016654373.1	XP_028525880.1	XP_028861932.1
5	5	0.853	XP_012337711.1	XP_019915385.1	XP_016654372.1	XP_028525878.1	XP_028861934.1
5	5	0.891	XP_012338052.1	XP_019915348.1	XP_016654370.1	XP_028525874.1	XP_028861938.1
5	5	0.881	XP_012338053.1	XP_019915249.1	XP_016654369.1	XP_028525873.1	XP_028861939.1
5	5	0.842	XP_012338056.1	XP_019915386.1	XP_016654368.1	XP_028525870.1	XP_028861942.1
5	5	0.815	XP_012338061.1	XP_019915460.1	XP_016654366.1	XP_028525866.1	XP_028861946.1
5	5	0.774	XP_012337701.1	XP_019915240.1	XP_016654377.1	XP_028529366.1	XP_028861924.1
5	5	0.826	XP_012338065.1	XP_019915516.1	XP_016654364.1	XP_028525862.1	XP_028861950.1
5	5	0.828	XP_012338066.1	XP_019915510.1	XP_016654363.1	XP_028525861.1	XP_028861951.1
5	5	0.883	XP_012338067.1	XP_019915226.1	XP_016654362.1	XP_028525860.1	XP_028861952.1
5	5	0.65	XP_012337770.1	XP_019915269.1	XP_016654361.1	XP_028525853.1	XP_028861959.1
5	5	0.84	XP_012337773.1	XP_019915405.1	XP_016654360.1	XP_028525850.1	XP_028861962.1
5	5	0.818	XP_012337781.1	XP_019915360.1	XP_016654359.1	XP_028525842.1	XP_028861970.1
4	4	0.595	XP_012335840.1	*	XP_016654358.1	XP_028525841.1	XP_028861971.1
5	5	0.883	XP_012335841.1	XP_019915465.1	XP_016654357.1	XP_028525840.1	XP_028861972.1
5	5	0.739	XP_012336678.1	XP_019916672.1	XP_016654420.1	XP_028527386.1	XP_028863472.1
5	5	0.784	XP_012335636.1	XP_019913568.1	XP_016654428.1	XP_028527398.1	XP_028863460.1
5	5	0.718	XP_012335635.1	XP_019916182.1	XP_016654427.1	XP_028527397.1	XP_028863461.1
5	5	0.418	XP_012336686.1	XP_019916940.1	XP_016654426.1	XP_028527394.1	XP_028863464.1
5	5	0.874	XP_012336685.1	XP_019916885.1	XP_016654425.1	XP_028527393.1	XP_028863465.1
5	5	0.752	XP_012336683.1	XP_019916849.1	XP_016654424.1	XP_028527391.1	XP_028863467.1
5	5	0.857	XP_012336682.1	XP_019916921.1	XP_016654423.1	XP_028527390.1	XP_028863468.1
5	5	0.815	XP_012336681.1	XP_019916675.1	XP_016654422.1	XP_028527389.1	XP_028863469.1
5	5	0.868	XP_012336679.1	XP_019916323.1	XP_016654421.1	XP_028527387.1	XP_028863471.1
5	5	0.781	XP_012337450.1	XP_019916719.1	XP_016654475.1	XP_028527479.1	XP_028863380.1
5	5	0.801	XP_012336673.1	XP_019917088.1	XP_016654419.1	XP_028527381.1	XP_028863477.1
5	5	0.846	XP_012336671.1	XP_019916206.1	XP_016654418.1	XP_028527379.1	XP_028863479.1
5	5	0.898	XP_012336670.1	XP_019916935.1	XP_016654417.1	XP_028527378.1	XP_028863480.1
5	5	0.395	XP_012337689.1	XP_019915488.1	XP_016654383.1	XP_028529379.1	XP_028861911.1
5	5	0.883	XP_012337692.1	XP_019915511.1	XP_016654382.1	XP_028529376.1	XP_028861914.1
5	5	0.867	XP_012337693.1	XP_019915264.1	XP_016654381.1	XP_028529375.1	XP_028861915.1
5	5	0.846	XP_012337695.1	XP_019915514.1	XP_016654379.1	XP_028529372.1	XP_028861918.1
5	5	0.807	XP_012337697.1	XP_019915362.1	XP_016654378.1	XP_028529370.1	XP_028861920.1
5	5	0.902	XP_012334927.1	XP_019916659.1	XP_016654526.1	XP_028527569.1	XP_028863291.1
5	5	0.355	XP_012334953.1	XP_019916225.1	XP_016654537.1	XP_028527596.1	XP_028863264.1
5	5	0.909	XP_012334951.1	XP_019916593.1	XP_016654536.1	XP_028527594.1	XP_028863266.1
5	5	0.834	XP_012334945.1	XP_019916486.1	XP_016654533.1	XP_028527587.1	XP_028863273.1
5	5	0.867	XP_012334941.1	XP_019916842.1	XP_016654532.1	XP_028527583.1	XP_028863277.1
5	5	0.865	XP_012334939.1	XP_019916503.1	XP_016654531.1	XP_028527581.1	XP_028863279.1
5	5	0.914	XP_012334938.1	XP_019916201.1	XP_016654530.1	XP_028527580.1	XP_028863280.1
5	5	0.677	XP_012334933.1	XP_019917100.1	XP_016654529.1	XP_028527575.1	XP_028863285.1
5	5	0.594	XP_012334929.1	XP_019916462.1	XP_016654528.1	XP_028527571.1	XP_028863289.1
5	5	0.829	XP_012334928.1	XP_019916294.1	XP_016654527.1	XP_028527570.1	XP_028863290.1
5	5	0.64	XP_012334954.1	XP_019916439.1	XP_016654538.1	XP_028527597.1	XP_028863263.1
4	4	0.508	XP_012334926.1	XP_019916613.1	XP_016654525.1	XP_028527568.1	*
5	5	0.938	XP_012334925.1	XP_019916290.1	XP_016654524.1	XP_028527567.1	XP_028863292.1
5	5	0.923	XP_012334924.1	XP_019916213.1	XP_016654523.1	XP_028527566.1	XP_028863293.1
5	5	0.894	XP_012336444.1	XP_019916381.1	XP_016654522.1	XP_028527565.1	XP_028863294.1
5	5	0.834	XP_012336446.1	XP_019917087.1	XP_016654520.1	XP_028527563.1	XP_028863296.1
5	5	0.859	XP_012336447.1	XP_019916298.1	XP_016654519.1	XP_028527562.1	XP_028863297.1
5	5	0.874	XP_012336449.1	XP_019916373.1	XP_016654518.1	XP_028527560.1	XP_028863299.1
5	5	0.828	XP_012336452.1	XP_019916886.1	XP_016654517.1	XP_028527557.1	XP_028863302.1
5	5	0.466	XP_012334972.1	XP_019916334.1	XP_016654547.1	XP_028527616.1	XP_028863245.1
5	5	0.805	XP_012337045.1	XP_019917081.1	XP_016654557.1	XP_028527639.1	XP_028863222.1
5	5	0.861	XP_012337047.1	XP_019916618.1	XP_016654556.1	XP_028527637.1	XP_028863224.1
5	5	0.765	XP_012334985.1	XP_019916925.1	XP_016654555.1	XP_028527629.1	XP_028863232.1
5	5	0.847	XP_012334983.1	XP_019916905.1	XP_016654554.1	XP_028527627.1	XP_028863234.1
5	5	0.621	XP_012334981.1	XP_019916200.1	XP_016654553.1	XP_028527626.1	XP_028863235.1
5	5	0.836	XP_012334979.1	XP_019916517.1	XP_016654552.1	XP_028527624.1	XP_028863237.1
5	5	0.882	XP_012334978.1	XP_019916861.1	XP_016654551.1	XP_028527623.1	XP_028863238.1
5	5	0.775	XP_012334977.1	XP_019916607.1	XP_016654550.1	XP_028527622.1	XP_028863239.1
5	5	0.842	XP_012334976.1	XP_019917067.1	XP_016654549.1	XP_028527621.1	XP_028863240.1
5	5	0.875	XP_012336461.1	XP_019916845.1	XP_016654516.1	XP_028527548.1	XP_028863311.1
5	5	0.833	XP_012334971.1	XP_019916776.1	XP_016654546.1	XP_028527615.1	XP_028863246.1
5	5	0.695	XP_012334966.1	XP_019916379.1	XP_016654545.1	XP_028527609.1	XP_028863251.1
5	5	0.797	XP_012334965.1	XP_019916889.1	XP_016654544.1	XP_028527608.1	XP_028863252.1
5	5	0.4	XP_012334963.1	XP_019916336.1	XP_016654543.1	XP_028527606.1	XP_028863254.1
5	5	0.918	XP_012334958.1	XP_019916964.1	XP_016654542.1	XP_028527601.1	XP_028863259.1
5	5	0.859	XP_012334957.1	XP_019916857.1	XP_016654541.1	XP_028527600.1	XP_028863260.1
5	5	0.963	XP_012334956.1	XP_019916583.1	XP_016654540.1	XP_028527599.1	XP_028863261.1
5	5	0.841	XP_012334955.1	XP_019916736.1	XP_016654539.1	XP_028527598.1	XP_028863262.1
5	5	0.903	XP_012337999.1	XP_019916186.1	XP_016654484.1	XP_028527498.1	XP_028863361.1
5	5	0.788	XP_012336492.1	XP_019916392.1	XP_016654494.1	XP_028527514.1	XP_028863345.1
4	4	0.735	XP_012336494.1	*	XP_016654493.1	XP_028527512.1	XP_028863347.1
5	5	0.803	XP_012336496.1	XP_019916780.1	XP_016654492.1	XP_028527510.1	XP_028863349.1
5	5	0.813	XP_012336497.1	XP_019916901.1	XP_016654491.1	XP_028527509.1	XP_028863350.1
5	5	0.581	XP_012337991.1	XP_019916620.1	XP_016654490.1	XP_028527507.1	XP_028863352.1
5	5	0.443	XP_012337993.1	XP_019916130.1	XP_016654489.1	XP_028527505.1	XP_028863354.1
5	5	0.738	XP_012337995.1	XP_019916092.1	XP_016654488.1	XP_028527503.1	XP_028863356.1
5	5	0.692	XP_012337996.1	XP_019916346.1	XP_016654486.1	XP_028527501.1	XP_028863358.1
5	5	0.876	XP_012337998.1	XP_019917006.1	XP_016654485.1	XP_028527499.1	XP_028863360.1
5	5	0.669	XP_012336491.1	XP_019916688.1	XP_016654495.1	XP_028527515.1	XP_028863344.1
5	5	0.879	XP_012338000.1	XP_019916132.1	XP_016654483.1	XP_028527497.1	XP_028863362.1
5	5	0.866	XP_012337437.1	XP_019916247.1	XP_016654482.1	XP_028527492.1	XP_028863367.1
5	5	0.689	XP_012337443.1	XP_019916383.1	XP_016654481.1	XP_028527486.1	XP_028863373.1
5	5	0.751	XP_012337444.1	XP_019916805.1	XP_016654480.1	XP_028527485.1	XP_028863374.1
5	5	0.895	XP_012337445.1	XP_019917090.1	XP_016654479.1	XP_028527484.1	XP_028863375.1
5	5	0.944	XP_012337447.1	XP_019916505.1	XP_016654478.1	XP_028527482.1	XP_028863377.1
5	5	0.71	XP_012337448.1	XP_019916360.1	XP_016654477.1	XP_028527481.1	XP_028863378.1
5	5	0.801	XP_012337449.1	XP_019916651.1	XP_016654476.1	XP_028527480.1	XP_028863379.1
5	5	0.593	XP_012336472.1	XP_019916592.1	XP_016654504.1	XP_028527535.1	XP_028863324.1
5	5	0.871	XP_012336462.1	XP_019916540.1	XP_016654515.1	XP_028527547.1	XP_028863312.1
5	5	0.66	XP_012336463.1	XP_019916378.1	XP_016654514.1	XP_028527546.1	XP_028863313.1
5	5	0.901	XP_012336464.1	XP_019916089.1	XP_016654513.1	XP_028527545.1	XP_028863314.1
5	5	0.779	XP_012336465.1	XP_019916718.1	XP_016654512.1	XP_028527544.1	XP_028863315.1
5	5	0.813	XP_012336466.1	XP_019916420.1	XP_016654511.1	XP_028527543.1	XP_028863316.1
5	5	0.736	XP_012336467.1	XP_019916146.1	XP_016654510.1	XP_028527542.1	XP_028863317.1
5	5	0.783	XP_012336468.1	XP_019917007.1	XP_016654509.1	XP_028527541.1	XP_028863318.1
5	5	0.862	XP_012336471.1	XP_019916577.1	XP_016654505.1	XP_028527536.1	XP_028863323.1
5	5	0.841	XP_012335846.1	XP_019915251.1	XP_016654356.1	XP_028525835.1	XP_028861976.1
5	5	0.395	XP_012336473.1	XP_019916248.1	XP_016654503.1	XP_028527534.1	XP_028863325.1
5	5	0.901	XP_012336474.1	XP_019916834.1	XP_016654502.1	XP_028527533.1	XP_028863326.1
5	5	0.817	XP_012336479.1	XP_019917008.1	XP_016654501.1	XP_028527527.1	XP_028863332.1
5	5	0.896	XP_012336480.1	XP_019916386.1	XP_016654500.1	XP_028527526.1	XP_028863333.1
5	5	0.793	XP_012336482.1	XP_019916787.1	XP_016654499.1	XP_028527524.1	XP_028863335.1
5	5	0.776	XP_012336483.1	XP_019916485.1	XP_016654498.1	XP_028527523.1	XP_028863336.1
5	5	0.854	XP_012336487.1	XP_019916268.1	XP_016654497.1	XP_028527519.1	XP_028863340.1
5	5	0.887	XP_012336490.1	XP_019916256.1	XP_016654496.1	XP_028527516.1	XP_028863343.1
5	5	0.691	XP_012336299.1	XP_019914465.1	XP_016654244.1	XP_028527073.1	XP_028861200.1
5	5	0.726	XP_012334074.1	XP_019912506.1	XP_016654253.1	XP_028530855.1	XP_028859997.1
5	5	0.886	XP_012334073.1	XP_019912477.1	XP_016654252.1	XP_028530854.1	XP_028859996.1
5	5	0.839	XP_012334069.1	XP_019912588.1	XP_016654251.1	XP_028530850.1	XP_028859992.1
5	5	0.839	XP_012336309.1	XP_019914627.1	XP_016654250.1	XP_028527083.1	XP_028861210.1
5	5	0.897	XP_012336307.1	XP_019914399.1	XP_016654249.1	XP_028527081.1	XP_028861208.1
5	5	0.853	XP_012336306.1	XP_019914690.1	XP_016654248.1	XP_028527080.1	XP_028861207.1
4	4	0.908	XP_012336305.1	*	XP_016654247.1	XP_028527079.1	XP_028861206.1
5	5	0.858	XP_012336304.1	XP_019914560.1	XP_016654246.1	XP_028527078.1	XP_028861205.1
5	5	0.839	XP_012336300.1	XP_019914508.1	XP_016654245.1	XP_028527074.1	XP_028861201.1
5	5	0.632	XP_012334076.1	XP_019912537.1	XP_016654254.1	XP_028530857.1	XP_028859999.1
5	5	0.797	XP_012336297.1	XP_019914685.1	XP_016654243.1	XP_028527071.1	XP_028861198.1
5	5	0.405	XP_012336295.1	XP_019914387.1	XP_016654242.1	XP_028527069.1	XP_028861196.1
5	5	0.862	XP_012336294.1	XP_019914505.1	XP_016654241.1	XP_028527068.1	XP_028861195.1
5	5	0.886	XP_012336292.1	XP_019914348.1	XP_016654240.1	XP_028527066.1	XP_028861193.1
5	5	0.932	XP_012336291.1	XP_019914338.1	XP_016654239.1	XP_028527065.1	XP_028861192.1
5	5	0.877	XP_012336290.1	XP_019914456.1	XP_016654238.1	XP_028527064.1	XP_028861191.1
5	5	0.314	XP_012336289.1	XP_019914453.1	XP_016654237.1	XP_028527063.1	XP_028861190.1
5	5	0.52	XP_012336288.1	XP_019914334.1	XP_016654236.1	XP_028527062.1	XP_028861189.1
5	5	0.678	XP_012334106.1	XP_019912433.1	XP_016654263.1	XP_028530882.1	XP_028860027.1
5	5	0.883	XP_012338194.1	XP_019912527.1	XP_016654272.1	XP_028526205.1	XP_028860046.1
5	5	0.768	XP_012338191.1	XP_019912550.1	XP_016654271.1	XP_028526208.1	XP_028860043.1
5	5	0.495	XP_012338190.1	XP_019912412.1	XP_016654270.1	XP_028526209.1	XP_028860042.1
4	4	0.619	XP_012338189.1	XP_019912384.1	XP_016654269.1	*	XP_028860041.1
5	5	0.865	XP_012338188.1	XP_019912411.1	XP_016654268.1	XP_028526211.1	XP_028860040.1
5	5	0.823	XP_012338186.1	XP_019912505.1	XP_016654267.1	XP_028526213.1	XP_028860038.1
5	5	0.792	XP_012338183.1	XP_019912455.1	XP_016654266.1	XP_028530890.1	XP_028860035.1
5	5	0.906	XP_012334113.1	XP_019912446.1	XP_016654265.1	XP_028530889.1	XP_028860034.1
5	5	0.814	XP_012334112.1	XP_019912424.1	XP_016654264.1	XP_028530888.1	XP_028860033.1
5	5	0.765	XP_012336287.1	XP_019914702.1	XP_016654235.1	XP_028527061.1	XP_028861188.1
5	5	0.896	XP_012334105.1	XP_019912458.1	XP_016654262.1	XP_028530881.1	XP_028860026.1
5	5	0.83	XP_012334104.1	XP_019912449.1	XP_016654261.1	XP_028530880.1	XP_028860025.1
5	5	0.807	XP_012334103.1	XP_019912474.1	XP_016654260.1	XP_028530879.1	XP_028860024.1
3	3	0.968	XP_012334102.1	*	XP_016654259.1	*	XP_028860023.1
5	5	0.619	XP_012334086.1	XP_019912572.1	XP_016654258.1	XP_028530864.1	XP_028860007.1
5	5	0.512	XP_012334085.1	XP_019912480.1	XP_016654257.1	XP_028530863.1	XP_028860006.1
5	5	0.692	XP_012334079.1	XP_019912567.1	XP_016654256.1	XP_028530860.1	XP_028860002.1
5	5	0.559	XP_012334077.1	XP_019912570.1	XP_016654255.1	XP_028530858.1	XP_028860000.1
5	5	0.665	XP_012337145.1	XP_019914557.1	XP_016654204.1	XP_028527013.1	XP_028861140.1
5	5	0.894	XP_012337162.1	XP_019914623.1	XP_016654215.1	XP_028527029.1	XP_028861156.1
5	5	0.955	XP_012337160.1	XP_019914636.1	XP_016654213.1	XP_028527027.1	XP_028861154.1
5	5	0.822	XP_012337159.1	XP_019914337.1	XP_016654212.1	XP_028527026.1	XP_028861153.1
5	5	0.649	XP_012337157.1	XP_019914430.1	XP_016654211.1	XP_028527024.1	XP_028861151.1
5	5	0.844	XP_012337156.1	XP_019914550.1	XP_016654210.1	XP_028527023.1	XP_028861150.1
5	5	0.795	XP_012337151.1	XP_019914325.1	XP_016654209.1	XP_028527019.1	XP_028861146.1
5	5	0.862	XP_012337150.1	XP_019914615.1	XP_016654208.1	XP_028527018.1	XP_028861145.1
5	5	0.772	XP_012337147.1	XP_019914662.1	XP_016654206.1	XP_028527015.1	XP_028861142.1
5	5	0.936	XP_012337146.1	XP_019914666.1	XP_016654205.1	XP_028527014.1	XP_028861141.1
5	5	0.941	XP_012337163.1	XP_019914511.1	XP_016654216.1	XP_028527030.1	XP_028861157.1
5	5	0.91	XP_012338456.1	XP_019914496.1	XP_016654203.1	XP_028527010.1	XP_028861137.1
5	5	0.845	XP_012338457.1	XP_019914381.1	XP_016654202.1	XP_028527009.1	XP_028861136.1
5	5	0.842	XP_012338458.1	XP_019914490.1	XP_016654201.1	XP_028527008.1	XP_028861135.1
5	5	0.701	XP_012338459.1	XP_019914668.1	XP_016654200.1	XP_028527006.1	XP_028861133.1
5	5	0.774	XP_012337398.1	XP_019914559.1	XP_016654199.1	XP_028527003.1	XP_028861130.1
5	5	0.825	XP_012337397.1	XP_019914597.1	XP_016654198.1	XP_028527002.1	XP_028861129.1
5	5	0.844	XP_012337395.1	XP_019914370.1	XP_016654197.1	XP_028527000.1	XP_028861127.1
5	5	0.739	XP_012337394.1	XP_019914483.1	XP_016654196.1	XP_028526999.1	XP_028861126.1
5	5	0.907	XP_012338497.1	XP_019914411.1	XP_016654225.1	XP_028527044.1	XP_028861171.1
5	5	0.337	XP_012336282.1	XP_019914697.1	XP_016654234.1	XP_028527058.1	XP_028861185.1
5	5	0.63	XP_012336280.1	XP_019914524.1	XP_016654233.1	XP_028527056.1	XP_028861183.1
5	5	0.784	XP_012336279.1	XP_019914573.1	XP_016654232.1	XP_028527055.1	XP_028861182.1
5	5	0.725	XP_012336278.1	XP_019914459.1	XP_016654231.1	XP_028527054.1	XP_028861181.1
5	5	0.564	XP_012336277.1	XP_019914584.1	XP_016654230.1	XP_028527053.1	XP_028861180.1
5	5	0.528	XP_012336276.1	XP_019914693.1	XP_016654229.1	XP_028527052.1	XP_028861179.1
5	5	0.832	XP_012338502.1	XP_019914470.1	XP_016654227.1	XP_028527049.1	XP_028861176.1
5	5	0.893	XP_012338498.1	XP_019914700.1	XP_016654226.1	XP_028527045.1	XP_028861172.1
5	5	0.703	XP_012338195.1	XP_019912445.1	XP_016654273.1	XP_028526204.1	XP_028860047.1
5	5	0.83	XP_012337176.1	XP_019914625.1	XP_016654224.1	XP_028527043.1	XP_028861170.1
