# Species	Genes	Alg.-Conn.	GCA_000499725.1_EBH001_protein.faa	GCF_000499385.1_ENH001_protein.faa	GCF_000499425.1_EAH001_protein.faa	GCF_000499545.2_ETH001_protein.faa	GCF_000499605.1_EMW001_protein.faa
2	2	1	*	XP_013437548.1	*	XP_013228581.1	*
2	2	1	*	XP_013437555.1	*	XP_013228578.1	*
2	2	1	*	XP_013434652.1	*	XP_013228655.1	*
2	2	1	*	XP_013440115.1	*	XP_013228678.1	*
2	2	1	*	XP_013435560.1	*	XP_013233631.1	*
2	2	1	*	XP_013440116.1	*	XP_013228677.1	*
2	2	1	*	XP_013435558.1	*	XP_013233634.1	*
2	2	1	*	XP_013435177.1	*	XP_013228671.1	*
2	2	1	*	XP_013434636.1	*	XP_013233637.1	*
2	2	1	*	XP_013435178.1	*	XP_013228670.1	*
2	2	1	*	XP_013440503.1	*	XP_013228669.1	*
2	2	1	*	XP_013436057.1	*	XP_013228659.1	*
2	2	1	*	XP_013437557.1	*	XP_013228577.1	*
2	2	1	*	XP_013437195.1	*	XP_013228645.1	*
2	2	1	*	XP_013433945.1	*	XP_013233642.1	*
2	2	1	*	XP_013434673.1	*	XP_013228641.1	*
2	2	1	*	XP_013434665.1	*	XP_013228633.1	*
2	2	1	*	XP_013439008.1	*	XP_013228629.1	*
2	2	1	*	XP_013434046.1	*	XP_013228625.1	*
2	2	1	*	XP_013434047.1	*	XP_013228624.1	*
2	2	1	*	XP_013433708.1	*	XP_013228616.1	*
2	2	1	*	XP_013435690.1	*	XP_013228611.1	*
2	2	1	*	XP_013435736.1	*	XP_013233733.1	*
2	2	1	*	XP_013440241.1	*	XP_013233715.1	*
2	2	1	*	XP_013440238.1	*	XP_013233718.1	*
2	2	1	*	XP_013440232.1	*	XP_013233725.1	*
2	2	1	*	XP_013436964.1	*	XP_013228514.1	*
2	2	1	*	XP_013436965.1	*	XP_013228513.1	*
2	2	1	*	XP_013438984.1	*	XP_013228511.1	*
2	2	1	*	XP_013437031.1	*	XP_013228507.1	*
2	2	1	*	XP_013440229.1	*	XP_013233729.1	*
2	2	1	*	XP_013435975.1	*	XP_013228505.1	*
2	2	1	*	XP_013440252.1	*	XP_013233702.1	*
2	2	1	*	XP_013435733.1	*	XP_013233737.1	*
2	2	1	*	XP_013440769.1	*	XP_013228504.1	*
2	2	1	*	XP_013437246.1	*	XP_013228498.1	*
2	2	1	*	XP_013435731.1	*	XP_013233739.1	*
2	2	1	*	XP_013435730.1	*	XP_013233740.1	*
2	2	1	*	XP_013437247.1	*	XP_013228497.1	*
2	2	1	*	XP_013433725.1	*	XP_013233752.1	*
2	2	1	*	XP_013437249.1	*	XP_013228496.1	*
2	2	1	*	XP_013437250.1	*	XP_013228495.1	*
2	2	1	*	XP_013434113.1	*	XP_013233676.1	*
2	2	1	*	XP_013437561.1	*	XP_013228573.1	*
2	2	1	*	XP_013440936.1	*	XP_013228564.1	*
2	2	1	*	XP_013440933.1	*	XP_013228561.1	*
2	2	1	*	XP_013434116.1	*	XP_013233673.1	*
2	2	1	*	XP_013434115.1	*	XP_013233674.1	*
2	2	1	*	XP_013437668.1	*	XP_013228545.1	*
2	2	1	*	XP_013434114.1	*	XP_013233675.1	*
2	2	1	*	XP_013432553.1	*	XP_013228530.1	*
2	2	1	*	XP_013432556.1	*	XP_013228527.1	*
2	2	1	*	XP_013434495.1	*	XP_013228293.1	*
2	2	1	*	XP_013432557.1	*	XP_013228525.1	*
2	2	1	*	XP_013432561.1	*	XP_013228521.1	*
2	2	1	*	XP_013434112.1	*	XP_013233677.1	*
2	2	1	*	XP_013432562.1	*	XP_013228520.1	*
2	2	1	*	XP_013432563.1	*	XP_013228519.1	*
2	2	1	*	XP_013434109.1	*	XP_013233681.1	*
2	2	1	*	XP_013432564.1	*	XP_013228518.1	*
2	2	1	*	XP_013438120.1	*	XP_013233691.1	*
2	2	1	*	XP_013439277.1	*	XP_013233695.1	*
2	2	1	*	XP_013433260.1	*	XP_013234216.1	*
2	2	1	*	XP_013437048.1	*	XP_013234185.1	*
2	2	1	*	XP_013435888.1	*	XP_013228100.1	*
2	2	1	*	XP_013439764.1	*	XP_013228093.1	*
2	2	1	*	XP_013432904.1	*	XP_013228082.1	*
2	2	1	*	XP_013437376.1	*	XP_013228064.1	*
2	2	1	*	XP_013434520.1	*	XP_013234192.1	*
2	2	1	*	XP_013432896.1	*	XP_013228058.1	*
2	2	1	*	XP_013433073.1	*	XP_013234197.1	*
2	2	1	*	XP_013433065.1	*	XP_013234204.1	*
2	2	1	*	XP_013435717.1	*	XP_013234183.1	*
2	2	1	*	XP_013441037.1	*	XP_013228053.1	*
2	2	1	*	XP_013438583.1	*	XP_013234220.1	*
2	2	1	*	XP_013434744.1	*	XP_013234224.1	*
2	2	1	*	XP_013441039.1	*	XP_013228051.1	*
2	2	1	*	XP_013441040.1	*	XP_013228050.1	*
2	2	1	*	XP_013441041.1	*	XP_013228049.1	*
2	2	1	*	XP_013438283.1	*	XP_013228048.1	*
2	2	1	*	XP_013439625.1	*	XP_013228046.1	*
2	2	1	*	XP_013434745.1	*	XP_013234225.1	*
2	2	1	*	XP_013437978.1	*	XP_013228115.1	*
2	2	1	*	XP_013434340.1	*	XP_013234142.1	*
2	2	1	*	XP_013435162.1	*	XP_013234147.1	*
2	2	1	*	XP_013435163.1	*	XP_013234148.1	*
2	2	1	*	XP_013437965.1	*	XP_013228129.1	*
2	2	1	*	XP_013437967.1	*	XP_013228127.1	*
2	2	1	*	XP_013440956.1	*	XP_013234153.1	*
2	2	1	*	XP_013437972.1	*	XP_013228122.1	*
2	2	1	*	XP_013437977.1	*	XP_013228117.1	*
2	2	1	*	XP_013440955.1	*	XP_013234154.1	*
2	2	1	*	XP_013439620.1	*	XP_013228041.1	*
2	2	1	*	XP_013437980.1	*	XP_013228114.1	*
2	2	1	*	XP_013438505.1	*	XP_013228110.1	*
2	2	1	*	XP_013433973.1	*	XP_013234161.1	*
2	2	1	*	XP_013433978.1	*	XP_013234166.1	*
2	2	1	*	XP_013433979.1	*	XP_013234167.1	*
2	2	1	*	XP_013434428.1	*	XP_013234169.1	*
2	2	1	*	XP_013436242.1	*	XP_013234171.1	*
2	2	1	*	XP_013435891.1	*	XP_013228103.1	*
2	2	1	*	XP_013435719.1	*	XP_013234181.1	*
2	2	1	*	XP_013438728.1	*	XP_013234296.1	*
2	2	1	*	XP_013439547.1	*	XP_013228009.1	*
2	2	1	*	XP_013433203.1	*	XP_013234279.1	*
2	2	1	*	XP_013436016.1	*	XP_013234284.1	*
2	2	1	*	XP_013436927.1	*	XP_013234289.1	*
2	2	1	*	XP_013439526.1	*	XP_013227988.1	*
2	2	1	*	XP_013438727.1	*	XP_013234295.1	*
2	2	1	*	XP_013434807.1	*	XP_013232341.1	*
2	2	1	*	XP_013434615.1	*	XP_013227982.1	*
2	2	1	*	XP_013434616.1	*	XP_013227981.1	*
2	2	1	*	XP_013439548.1	*	XP_013228010.1	*
2	2	1	*	XP_013434619.1	*	XP_013227978.1	*
2	2	1	*	XP_013434625.1	*	XP_013227973.1	*
2	2	1	*	XP_013439120.1	*	XP_013227970.1	*
2	2	1	*	XP_013440567.1	*	XP_013234306.1	*
2	2	1	*	XP_013433912.1	*	XP_013227962.1	*
2	2	1	*	XP_013433911.1	*	XP_013227961.1	*
2	2	1	*	XP_013440568.1	*	XP_013234307.1	*
2	2	1	*	XP_013438544.1	*	XP_013227954.1	*
2	2	1	*	XP_013433031.1	*	XP_013227952.1	*
2	2	1	*	XP_013438279.1	*	XP_013234260.1	*
2	2	1	*	XP_013439616.1	*	XP_013228037.1	*
2	2	1	*	XP_013434590.1	*	XP_013234237.1	*
2	2	1	*	XP_013434960.1	*	XP_013234240.1	*
2	2	1	*	XP_013439655.1	*	XP_013234248.1	*
2	2	1	*	XP_013433112.1	*	XP_013228032.1	*
2	2	1	*	XP_013433114.1	*	XP_013228029.1	*
2	2	1	*	XP_013436524.1	*	XP_013228025.1	*
2	2	1	*	XP_013436521.1	*	XP_013228022.1	*
2	2	1	*	XP_013432972.1	*	XP_013234255.1	*
2	2	1	*	XP_013436830.1	*	XP_013228130.1	*
2	2	1	*	XP_013439563.1	*	XP_013228018.1	*
2	2	1	*	XP_013440325.1	*	XP_013234262.1	*
2	2	1	*	XP_013437396.1	*	XP_013234267.1	*
2	2	1	*	XP_013437098.1	*	XP_013234274.1	*
2	2	1	*	XP_013439562.1	*	XP_013228017.1	*
2	2	1	*	XP_013439561.1	*	XP_013228016.1	*
2	2	1	*	XP_013435959.1	*	XP_013234276.1	*
2	2	1	*	XP_013434098.1	*	XP_013234277.1	*
2	2	1	*	XP_013439553.1	*	XP_013228012.1	*
2	2	1	*	XP_013439289.1	*	XP_013234036.1	*
2	2	1	*	XP_013438569.1	*	XP_013234026.1	*
2	2	1	*	XP_013438571.1	*	XP_013234028.1	*
2	2	1	*	XP_013438573.1	*	XP_013234030.1	*
2	2	1	*	XP_013438359.1	*	XP_013228248.1	*
2	2	1	*	XP_013439284.1	*	XP_013234032.1	*
2	2	1	*	XP_013439285.1	*	XP_013234033.1	*
2	2	1	*	XP_013439286.1	*	XP_013234034.1	*
2	2	1	*	XP_013438360.1	*	XP_013228247.1	*
2	2	1	*	XP_013439287.1	*	XP_013234035.1	*
2	2	1	*	XP_013438358.1	*	XP_013228250.1	*
2	2	1	*	XP_013439290.1	*	XP_013234037.1	*
2	2	1	*	XP_013439302.1	*	XP_013234047.1	*
2	2	1	*	XP_013438364.1	*	XP_013228243.1	*
2	2	1	*	XP_013438365.1	*	XP_013228242.1	*
2	2	1	*	XP_013438368.1	*	XP_013228238.1	*
2	2	1	*	XP_013438369.1	*	XP_013228237.1	*
2	2	1	*	XP_013439303.1	*	XP_013234048.1	*
2	2	1	*	XP_013433244.1	*	XP_013228218.1	*
2	2	1	*	XP_013433245.1	*	XP_013228217.1	*
2	2	1	*	XP_013432626.1	*	XP_013228279.1	*
2	2	1	*	XP_013433217.1	*	XP_013233969.1	*
2	2	1	*	XP_013438771.1	*	XP_013228288.1	*
2	2	1	*	XP_013433219.1	*	XP_013233971.1	*
2	2	1	*	XP_013437068.1	*	XP_013233983.1	*
2	2	1	*	XP_013437066.1	*	XP_013233985.1	*
2	2	1	*	XP_013438770.1	*	XP_013228287.1	*
2	2	1	*	XP_013433665.1	*	XP_013228282.1	*
2	2	1	*	XP_013438922.1	*	XP_013233989.1	*
2	2	1	*	XP_013440967.1	*	XP_013234004.1	*
2	2	1	*	XP_013433246.1	*	XP_013228216.1	*
2	2	1	*	XP_013433575.1	*	XP_013228270.1	*
2	2	1	*	XP_013432841.1	*	XP_013228266.1	*
2	2	1	*	XP_013438555.1	*	XP_013234014.1	*
2	2	1	*	XP_013432839.1	*	XP_013228264.1	*
2	2	1	*	XP_013437512.1	*	XP_013228257.1	*
2	2	1	*	XP_013437515.1	*	XP_013228255.1	*
2	2	1	*	XP_013438355.1	*	XP_013228253.1	*
2	2	1	*	XP_013438556.1	*	XP_013234015.1	*
2	2	1	*	XP_013438558.1	*	XP_013234016.1	*
2	2	1	*	XP_013432720.1	*	XP_013228146.1	*
2	2	1	*	XP_013434930.1	*	XP_013228157.1	*
2	2	1	*	XP_013434785.1	*	XP_013234091.1	*
2	2	1	*	XP_013434788.1	*	XP_013234094.1	*
2	2	1	*	XP_013439610.1	*	XP_013234102.1	*
2	2	1	*	XP_013439177.1	*	XP_013234107.1	*
2	2	1	*	XP_013434929.1	*	XP_013228156.1	*
2	2	1	*	XP_013439493.1	*	XP_013234115.1	*
2	2	1	*	XP_013434928.1	*	XP_013228155.1	*
2	2	1	*	XP_013440143.1	*	XP_013228148.1	*
2	2	1	*	XP_013434931.1	*	XP_013228158.1	*
2	2	1	*	XP_013439490.1	*	XP_013234119.1	*
2	2	1	*	XP_013432723.1	*	XP_013228143.1	*
2	2	1	*	XP_013432724.1	*	XP_013228142.1	*
2	2	1	*	XP_013439489.1	*	XP_013234121.1	*
2	2	1	*	XP_013439488.1	*	XP_013234122.1	*
2	2	1	*	XP_013439485.1	*	XP_013234125.1	*
2	2	1	*	XP_013432726.1	*	XP_013228140.1	*
2	2	1	*	XP_013432727.1	*	XP_013228139.1	*
2	2	1	*	XP_013432961.1	*	XP_013234128.1	*
2	2	1	*	XP_013433894.1	*	XP_013228194.1	*
2	2	1	*	XP_013433253.1	*	XP_013228214.1	*
2	2	1	*	XP_013434142.1	*	XP_013234051.1	*
2	2	1	*	XP_013434143.1	*	XP_013234052.1	*
2	2	1	*	XP_013439222.1	*	XP_013234053.1	*
2	2	1	*	XP_013433255.1	*	XP_013228212.1	*
2	2	1	*	XP_013439146.1	*	XP_013234061.1	*
2	2	1	*	XP_013433902.1	*	XP_013228202.1	*
2	2	1	*	XP_013439148.1	*	XP_013234063.1	*
2	2	1	*	XP_013433901.1	*	XP_013228201.1	*
2	2	1	*	XP_013435561.1	*	XP_013233630.1	*
2	2	1	*	XP_013439149.1	*	XP_013234064.1	*
2	2	1	*	XP_013433889.1	*	XP_013228190.1	*
2	2	1	*	XP_013437481.1	*	XP_013228189.1	*
2	2	1	*	XP_013434371.1	*	XP_013228167.1	*
2	2	1	*	XP_013439160.1	*	XP_013234075.1	*
2	2	1	*	XP_013434927.1	*	XP_013228165.1	*
2	2	1	*	XP_013434934.1	*	XP_013228161.1	*
2	2	1	*	XP_013434933.1	*	XP_013228160.1	*
2	2	1	*	XP_013438670.1	*	XP_013234083.1	*
2	2	1	*	XP_013439592.1	*	XP_013229222.1	*
2	2	1	*	XP_013434899.1	*	XP_013229257.1	*
2	2	1	*	XP_013438731.1	*	XP_013229252.1	*
2	2	1	*	XP_013437287.1	*	XP_013229245.1	*
2	2	1	*	XP_013439661.1	*	XP_013233182.1	*
2	2	1	*	XP_013439454.1	*	XP_013233183.1	*
2	2	1	*	XP_013439455.1	*	XP_013233184.1	*
2	2	1	*	XP_013438124.1	*	XP_013229223.1	*
2	2	1	*	XP_013437653.1	*	XP_013233192.1	*
2	2	1	*	XP_013440077.1	*	XP_013233198.1	*
2	2	1	*	XP_013439163.1	*	XP_013229260.1	*
2	2	1	*	XP_013433131.1	*	XP_013229221.1	*
2	2	1	*	XP_013433134.1	*	XP_013229218.1	*
2	2	1	*	XP_013433143.1	*	XP_013229209.1	*
2	2	1	*	XP_013440076.1	*	XP_013233199.1	*
2	2	1	*	XP_013439926.1	*	XP_013233216.1	*
2	2	1	*	XP_013439925.1	*	XP_013233217.1	*
2	2	1	*	XP_013439246.1	*	XP_013229182.1	*
2	2	1	*	XP_013439245.1	*	XP_013229181.1	*
2	2	1	*	XP_013439924.1	*	XP_013233218.1	*
2	2	1	*	XP_013437270.1	*	XP_013233169.1	*
2	2	1	*	XP_013439382.1	*	XP_013229333.1	*
2	2	1	*	XP_013439381.1	*	XP_013229332.1	*
2	2	1	*	XP_013439380.1	*	XP_013229331.1	*
2	2	1	*	XP_013439378.1	*	XP_013229329.1	*
2	2	1	*	XP_013439374.1	*	XP_013229325.1	*
2	2	1	*	XP_013439372.1	*	XP_013229323.1	*
2	2	1	*	XP_013438138.1	*	XP_013229318.1	*
2	2	1	*	XP_013437564.1	*	XP_013233166.1	*
2	2	1	*	XP_013440833.1	*	XP_013229315.1	*
2	2	1	*	XP_013439244.1	*	XP_013229180.1	*
2	2	1	*	XP_013435609.1	*	XP_013233171.1	*
2	2	1	*	XP_013440832.1	*	XP_013229314.1	*
2	2	1	*	XP_013435610.1	*	XP_013233172.1	*
2	2	1	*	XP_013433553.1	*	XP_013229300.1	*
2	2	1	*	XP_013439871.1	*	XP_013229293.1	*
2	2	1	*	XP_013438674.1	*	XP_013229273.1	*
2	2	1	*	XP_013435611.1	*	XP_013233173.1	*
2	2	1	*	XP_013435612.1	*	XP_013233174.1	*
2	2	1	*	XP_013434402.1	*	XP_013229266.1	*
2	2	1	*	XP_013440868.1	*	XP_013229089.1	*
2	2	1	*	XP_013439593.1	*	XP_013229105.1	*
2	2	1	*	XP_013438636.1	*	XP_013229102.1	*
2	2	1	*	XP_013439896.1	*	XP_013233241.1	*
2	2	1	*	XP_013435194.1	*	XP_013233259.1	*
2	2	1	*	XP_013435210.1	*	XP_013233275.1	*
2	2	1	*	XP_013438637.1	*	XP_013229101.1	*
2	2	1	*	XP_013436680.1	*	XP_013229094.1	*
2	2	1	*	XP_013436679.1	*	XP_013229093.1	*
2	2	1	*	XP_013435212.1	*	XP_013233277.1	*
2	2	1	*	XP_013439898.1	*	XP_013233239.1	*
2	2	1	*	XP_013437029.1	*	XP_013229088.1	*
2	2	1	*	XP_013433054.1	*	XP_013233295.1	*
2	2	1	*	XP_013437027.1	*	XP_013229086.1	*
2	2	1	*	XP_013433055.1	*	XP_013233296.1	*
2	2	1	*	XP_013438540.1	*	XP_013233299.1	*
2	2	1	*	XP_013433060.1	*	XP_013233300.1	*
2	2	1	*	XP_013433819.1	*	XP_013233302.1	*
2	2	1	*	XP_013437024.1	*	XP_013229083.1	*
2	2	1	*	XP_013437023.1	*	XP_013229082.1	*
2	2	1	*	XP_013435995.1	*	XP_013229150.1	*
2	2	1	*	XP_013439242.1	*	XP_013229178.1	*
2	2	1	*	XP_013437136.1	*	XP_013229168.1	*
2	2	1	*	XP_013439923.1	*	XP_013233219.1	*
2	2	1	*	XP_013439912.1	*	XP_013233225.1	*
2	2	1	*	XP_013437128.1	*	XP_013229159.1	*
2	2	1	*	XP_013439906.1	*	XP_013233231.1	*
2	2	1	*	XP_013437125.1	*	XP_013229156.1	*
2	2	1	*	XP_013437124.1	*	XP_013229155.1	*
2	2	1	*	XP_013439901.1	*	XP_013233236.1	*
2	2	1	*	XP_013439383.1	*	XP_013229334.1	*
2	2	1	*	XP_013436111.1	*	XP_013229149.1	*
2	2	1	*	XP_013436106.1	*	XP_013229145.1	*
2	2	1	*	XP_013436991.1	*	XP_013229138.1	*
2	2	1	*	XP_013437784.1	*	XP_013229131.1	*
2	2	1	*	XP_013437782.1	*	XP_013229129.1	*
2	2	1	*	XP_013439900.1	*	XP_013233237.1	*
2	2	1	*	XP_013440961.1	*	XP_013229118.1	*
2	2	1	*	XP_013439577.1	*	XP_013229113.1	*
2	2	1	*	XP_013439578.1	*	XP_013229112.1	*
2	2	1	*	XP_013434027.1	*	XP_013229487.1	*
2	2	1	*	XP_013434377.1	*	XP_013229518.1	*
2	2	1	*	XP_013434384.1	*	XP_013229511.1	*
2	2	1	*	XP_013434386.1	*	XP_013229509.1	*
2	2	1	*	XP_013434389.1	*	XP_013229506.1	*
2	2	1	*	XP_013436451.1	*	XP_013229504.1	*
2	2	1	*	XP_013436261.1	*	XP_013233091.1	*
2	2	1	*	XP_013437586.1	*	XP_013229500.1	*
2	2	1	*	XP_013438238.1	*	XP_013229494.1	*
2	2	1	*	XP_013438255.1	*	XP_013229488.1	*
2	2	1	*	XP_013439231.1	*	XP_013233080.1	*
2	2	1	*	XP_013439366.1	*	XP_013229482.1	*
2	2	1	*	XP_013436260.1	*	XP_013233092.1	*
2	2	1	*	XP_013439688.1	*	XP_013229479.1	*
2	2	1	*	XP_013436257.1	*	XP_013233093.1	*
2	2	1	*	XP_013439686.1	*	XP_013229477.1	*
2	2	1	*	XP_013436256.1	*	XP_013233094.1	*
2	2	1	*	XP_013439683.1	*	XP_013229474.1	*
2	2	1	*	XP_013434890.1	*	XP_013229473.1	*
2	2	1	*	XP_013437997.1	*	XP_013229467.1	*
2	2	1	*	XP_013437624.1	*	XP_013233063.1	*
2	2	1	*	XP_013439744.1	*	XP_013229635.1	*
2	2	1	*	XP_013435258.1	*	XP_013229625.1	*
2	2	1	*	XP_013433696.1	*	XP_013229610.1	*
2	2	1	*	XP_013438174.1	*	XP_013233054.1	*
2	2	1	*	XP_013437631.1	*	XP_013233056.1	*
2	2	1	*	XP_013433617.1	*	XP_013229601.1	*
2	2	1	*	XP_013437156.1	*	XP_013229556.1	*
2	2	1	*	XP_013437625.1	*	XP_013233062.1	*
2	2	1	*	XP_013437307.1	*	XP_013229545.1	*
2	2	1	*	XP_013433154.1	*	XP_013229464.1	*
2	2	1	*	XP_013437621.1	*	XP_013233064.1	*
2	2	1	*	XP_013437616.1	*	XP_013233069.1	*
2	2	1	*	XP_013437615.1	*	XP_013233070.1	*
2	2	1	*	XP_013437316.1	*	XP_013229539.1	*
2	2	1	*	XP_013437317.1	*	XP_013229538.1	*
2	2	1	*	XP_013437614.1	*	XP_013233071.1	*
2	2	1	*	XP_013436083.1	*	XP_013229529.1	*
2	2	1	*	XP_013436081.1	*	XP_013229527.1	*
2	2	1	*	XP_013436077.1	*	XP_013229523.1	*
2	2	1	*	XP_013440424.1	*	XP_013233141.1	*
2	2	1	*	XP_013440421.1	*	XP_013233138.1	*
2	2	1	*	XP_013436755.1	*	XP_013229394.1	*
2	2	1	*	XP_013434089.1	*	XP_013229392.1	*
2	2	1	*	XP_013440203.1	*	XP_013229391.1	*
2	2	1	*	XP_013438005.1	*	XP_013229385.1	*
2	2	1	*	XP_013438501.1	*	XP_013229369.1	*
2	2	1	*	XP_013439571.1	*	XP_013229357.1	*
2	2	1	*	XP_013439573.1	*	XP_013229355.1	*
2	2	1	*	XP_013440423.1	*	XP_013233140.1	*
2	2	1	*	XP_013436756.1	*	XP_013229395.1	*
2	2	1	*	XP_013440432.1	*	XP_013233149.1	*
2	2	1	*	XP_013440433.1	*	XP_013233150.1	*
2	2	1	*	XP_013437120.1	*	XP_013233163.1	*
2	2	1	*	XP_013437119.1	*	XP_013233164.1	*
2	2	1	*	XP_013434140.1	*	XP_013233165.1	*
2	2	1	*	XP_013439627.1	*	XP_013229353.1	*
2	2	1	*	XP_013434403.1	*	XP_013229347.1	*
2	2	1	*	XP_013433352.1	*	XP_013229340.1	*
2	2	1	*	XP_013439385.1	*	XP_013229336.1	*
2	2	1	*	XP_013434425.1	*	XP_013229427.1	*
2	2	1	*	XP_013439837.1	*	XP_013229456.1	*
2	2	1	*	XP_013435375.1	*	XP_013233106.1	*
2	2	1	*	XP_013435376.1	*	XP_013233107.1	*
2	2	1	*	XP_013435380.1	*	XP_013233110.1	*
2	2	1	*	XP_013439838.1	*	XP_013229455.1	*
2	2	1	*	XP_013436687.1	*	XP_013229440.1	*
2	2	1	*	XP_013434424.1	*	XP_013229428.1	*
2	2	1	*	XP_013437383.1	*	XP_013233113.1	*
2	2	1	*	XP_013440415.1	*	XP_013233131.1	*
2	2	1	*	XP_013440530.1	*	XP_013229077.1	*
2	2	1	*	XP_013438089.1	*	XP_013229421.1	*
2	2	1	*	XP_013440751.1	*	XP_013229416.1	*
2	2	1	*	XP_013440418.1	*	XP_013233134.1	*
2	2	1	*	XP_013435809.1	*	XP_013229406.1	*
2	2	1	*	XP_013440978.1	*	XP_013229402.1	*
2	2	1	*	XP_013437209.1	*	XP_013229400.1	*
2	2	1	*	XP_013437210.1	*	XP_013229399.1	*
2	2	1	*	XP_013436758.1	*	XP_013229397.1	*
2	2	1	*	XP_013440419.1	*	XP_013233135.1	*
2	2	1	*	XP_013436857.1	*	XP_013233556.1	*
2	2	1	*	XP_013433296.1	*	XP_013228827.1	*
2	2	1	*	XP_013433297.1	*	XP_013228826.1	*
2	2	1	*	XP_013440573.1	*	XP_013233531.1	*
2	2	1	*	XP_013439869.1	*	XP_013233536.1	*
2	2	1	*	XP_013434913.1	*	XP_013233542.1	*
2	2	1	*	XP_013434351.1	*	XP_013228818.1	*
2	2	1	*	XP_013434357.1	*	XP_013228813.1	*
2	2	1	*	XP_013436861.1	*	XP_013233552.1	*
2	2	1	*	XP_013433579.1	*	XP_013228807.1	*
2	2	1	*	XP_013436142.1	*	XP_013233527.1	*
2	2	1	*	XP_013439732.1	*	XP_013228804.1	*
2	2	1	*	XP_013439739.1	*	XP_013228802.1	*
2	2	1	*	XP_013435465.1	*	XP_013228796.1	*
2	2	1	*	XP_013435466.1	*	XP_013228795.1	*
2	2	1	*	XP_013436855.1	*	XP_013233558.1	*
2	2	1	*	XP_013436854.1	*	XP_013233560.1	*
2	2	1	*	XP_013435468.1	*	XP_013228793.1	*
2	2	1	*	XP_013436849.1	*	XP_013233564.1	*
2	2	1	*	XP_013436848.1	*	XP_013233565.1	*
2	2	1	*	XP_013435038.1	*	XP_013228853.1	*
2	2	1	*	XP_013436121.1	*	XP_013233505.1	*
2	2	1	*	XP_013440653.1	*	XP_013228906.1	*
2	2	1	*	XP_013438036.1	*	XP_013228898.1	*
2	2	1	*	XP_013436878.1	*	XP_013228893.1	*
2	2	1	*	XP_013433742.1	*	XP_013228888.1	*
2	2	1	*	XP_013436686.1	*	XP_013228882.1	*
2	2	1	*	XP_013434345.1	*	XP_013228876.1	*
2	2	1	*	XP_013437152.1	*	XP_013228861.1	*
2	2	1	*	XP_013435112.1	*	XP_013228859.1	*
2	2	1	*	XP_013438963.1	*	XP_013233576.1	*
2	2	1	*	XP_013436123.1	*	XP_013233507.1	*
2	2	1	*	XP_013435037.1	*	XP_013228852.1	*
2	2	1	*	XP_013436133.1	*	XP_013233517.1	*
2	2	1	*	XP_013436135.1	*	XP_013233519.1	*
2	2	1	*	XP_013436137.1	*	XP_013233521.1	*
2	2	1	*	XP_013437786.1	*	XP_013228847.1	*
2	2	1	*	XP_013432957.1	*	XP_013228841.1	*
2	2	1	*	XP_013436140.1	*	XP_013233525.1	*
2	2	1	*	XP_013433290.1	*	XP_013228831.1	*
2	2	1	*	XP_013440384.1	*	XP_013233615.1	*
2	2	1	*	XP_013435343.1	*	XP_013228753.1	*
2	2	1	*	XP_013434012.1	*	XP_013228745.1	*
2	2	1	*	XP_013440380.1	*	XP_013233611.1	*
2	2	1	*	XP_013432810.1	*	XP_013228733.1	*
2	2	1	*	XP_013439649.1	*	XP_013228722.1	*
2	2	1	*	XP_013439674.1	*	XP_013228714.1	*
2	2	1	*	XP_013440382.1	*	XP_013233613.1	*
2	2	1	*	XP_013440383.1	*	XP_013233614.1	*
2	2	1	*	XP_013439676.1	*	XP_013228712.1	*
2	2	1	*	XP_013440374.1	*	XP_013233606.1	*
2	2	1	*	XP_013439678.1	*	XP_013228710.1	*
2	2	1	*	XP_013435880.1	*	XP_013228702.1	*
2	2	1	*	XP_013440386.1	*	XP_013233617.1	*
2	2	1	*	XP_013438895.1	*	XP_013228690.1	*
2	2	1	*	XP_013438897.1	*	XP_013228689.1	*
2	2	1	*	XP_013440111.1	*	XP_013228682.1	*
2	2	1	*	XP_013440114.1	*	XP_013228679.1	*
2	2	1	*	XP_013440387.1	*	XP_013233618.1	*
2	2	1	*	XP_013438927.1	*	XP_013233624.1	*
2	2	1	*	XP_013433191.1	*	XP_013233583.1	*
2	2	1	*	XP_013440841.1	*	XP_013228790.1	*
2	2	1	*	XP_013435597.1	*	XP_013228789.1	*
2	2	1	*	XP_013439386.1	*	XP_013228787.1	*
2	2	1	*	XP_013436488.1	*	XP_013228784.1	*
2	2	1	*	XP_013436483.1	*	XP_013228779.1	*
2	2	1	*	XP_013438961.1	*	XP_013233579.1	*
2	2	1	*	XP_013438401.1	*	XP_013228774.1	*
2	2	1	*	XP_013438960.1	*	XP_013233580.1	*
2	2	1	*	XP_013440442.1	*	XP_013228769.1	*
2	2	1	*	XP_013432520.1	*	XP_013228912.1	*
2	2	1	*	XP_013433190.1	*	XP_013233584.1	*
2	2	1	*	XP_013433187.1	*	XP_013233587.1	*
2	2	1	*	XP_013437571.1	*	XP_013228767.1	*
2	2	1	*	XP_013437573.1	*	XP_013228764.1	*
2	2	1	*	XP_013440363.1	*	XP_013233598.1	*
2	2	1	*	XP_013440371.1	*	XP_013233602.1	*
2	2	1	*	XP_013435349.1	*	XP_013228759.1	*
2	2	1	*	XP_013440372.1	*	XP_013233604.1	*
2	2	1	*	XP_013435347.1	*	XP_013228757.1	*
