# Species	Genes	Alg.-Conn.	GCF_000208865.1_ASM20886v2_protein.faa	GCF_001601855.1_ASM160185v1_protein.faa	GCF_002563875.1_Bbes1.0_protein.faa	GCF_900002375.2_GCA_900002375_protein.faa	GCF_900005765.1_PRELSG_protein.faa
3	3	0.772	*	XP_019970771.1	*	XP_034421836.1	XP_028531557.1
3	3	0.968	*	XP_012761352.1	*	XP_034421835.1	XP_028531556.1
3	3	0.948	*	XP_012761350.1	*	XP_034421833.1	XP_028531554.1
3	3	0.791	*	XP_012765372.2	*	XP_034421922.1	XP_028535833.1
3	3	0.827	*	XP_012765343.2	*	XP_034421950.1	XP_028535863.1
3	3	0.981	*	XP_012765346.2	*	XP_034421947.1	XP_028535860.1
3	3	0.806	*	XP_012765347.2	*	XP_034421946.1	XP_028535859.1
3	3	0.927	*	XP_012765348.1	*	XP_034421945.1	XP_028535858.1
3	3	0.963	*	XP_012765350.2	*	XP_034421943.1	XP_028535856.1
3	3	0.872	*	XP_012765351.2	*	XP_034421942.1	XP_028535855.1
3	3	0.877	*	XP_012765352.2	*	XP_034421941.1	XP_028535854.1
3	3	0.856	*	XP_012765353.2	*	XP_034421940.1	XP_028535853.1
3	3	0.43	*	XP_012765355.1	*	XP_034421938.1	XP_028535851.1
3	3	0.906	*	XP_012765361.2	*	XP_034421933.1	XP_028535845.1
3	3	0.956	*	XP_012765365.2	*	XP_034421929.1	XP_028535840.1
3	3	0.819	*	XP_012765366.2	*	XP_034421928.1	XP_028535839.1
2	2	1	*	XP_012765368.2	*	XP_034421926.1	*
3	3	0.481	*	XP_012765369.2	*	XP_034421925.1	XP_028535836.1
3	3	0.922	*	XP_019969969.1	*	XP_034421924.1	XP_028535835.1
3	3	0.93	*	XP_012761349.2	*	XP_034421832.1	XP_028531553.1
3	3	0.929	*	XP_012765373.1	*	XP_034421921.1	XP_028535832.1
3	3	0.886	*	XP_012765374.2	*	XP_034421920.1	XP_028535831.1
3	3	0.916	*	XP_019969971.1	*	XP_034421917.1	XP_028535828.1
3	3	0.764	*	XP_012765378.2	*	XP_034421916.1	XP_028535827.1
3	3	0.802	*	XP_019969972.1	*	XP_034421914.1	XP_028535825.1
3	3	0.834	*	XP_019969975.1	*	XP_034421911.1	XP_028535822.1
3	3	0.897	*	XP_012765384.2	*	XP_034421910.1	XP_028535821.1
3	3	0.547	*	XP_012765385.2	*	XP_034421909.1	XP_028535820.1
3	3	0.94	*	XP_012765387.2	*	XP_034421907.1	XP_028535818.1
3	3	0.789	*	XP_012765390.2	*	XP_034421904.1	XP_028535815.1
3	3	0.853	*	XP_012765391.2	*	XP_034421903.1	XP_028535814.1
3	3	0.861	*	XP_012765395.2	*	XP_034421899.1	XP_028535810.1
3	3	0.958	*	XP_012765397.2	*	XP_034421897.1	XP_028535808.1
3	3	0.795	*	XP_012765398.1	*	XP_034421896.1	XP_028535807.1
3	3	0.971	*	XP_012763498.2	*	XP_034421734.1	XP_028532969.1
3	3	0.837	*	XP_012763472.2	*	XP_034421759.1	XP_028532943.1
3	3	0.934	*	XP_012763473.2	*	XP_034421758.1	XP_028532944.1
3	3	0.965	*	XP_012763474.1	*	XP_034421757.1	XP_028532945.1
3	3	0.959	*	XP_012763475.2	*	XP_034421756.1	XP_028532946.1
3	3	0.962	*	XP_012763476.2	*	XP_034421755.1	XP_028532947.1
3	3	0.958	*	XP_012763477.2	*	XP_034421754.1	XP_028532948.1
3	3	0.948	*	XP_019970289.1	*	XP_034421753.1	XP_028532949.1
3	3	0.852	*	XP_012763479.1	*	XP_034421752.1	XP_028532950.1
3	3	0.87	*	XP_012763481.2	*	XP_034421750.1	XP_028532952.1
3	3	0.928	*	XP_019970290.1	*	XP_034421749.1	XP_028532953.1
3	3	0.749	*	XP_012763483.2	*	XP_034421748.1	XP_028532954.1
3	3	0.783	*	XP_019970292.1	*	XP_034421745.1	XP_028532957.1
3	3	0.976	*	XP_012763487.2	*	XP_034421744.1	XP_028532958.1
3	3	0.825	*	XP_012763488.2	*	XP_034421743.1	XP_028532959.1
3	3	0.979	*	XP_012763489.2	*	XP_034421742.1	XP_028532960.1
3	3	0.925	*	XP_012763471.2	*	XP_034421760.1	XP_028532942.1
3	3	0.925	*	XP_012763499.2	*	XP_034421733.1	XP_028532970.1
3	3	0.735	*	XP_012763500.2	*	XP_034421732.1	XP_028532971.1
3	3	0.935	*	XP_019970295.1	*	XP_034421731.1	XP_028532972.1
3	3	0.872	*	XP_019970298.1	*	XP_034421728.1	XP_028532975.1
3	3	0.914	*	XP_012763505.2	*	XP_034421727.1	XP_028532976.1
3	3	0.85	*	XP_019970299.1	*	XP_034421725.1	XP_028532978.1
3	3	0.99	*	XP_012763512.2	*	XP_034421719.1	XP_028532983.1
3	3	0.898	*	XP_012763513.2	*	XP_034421718.1	XP_028532984.1
3	3	0.915	*	XP_019970301.1	*	XP_034421714.1	XP_028532988.1
3	3	0.905	*	XP_012763518.1	*	XP_034421713.1	XP_028532989.1
3	3	0.715	*	XP_012763521.2	*	XP_034421710.1	XP_028532992.1
3	3	0.929	*	XP_012763522.2	*	XP_034421709.1	XP_028532993.1
3	3	0.979	*	XP_012763523.1	*	XP_034421708.1	XP_028532994.1
3	3	0.86	*	XP_012763525.2	*	XP_034421706.1	XP_028532996.1
3	3	0.89	*	XP_019970765.1	*	XP_034421810.1	XP_028531530.1
3	3	0.911	*	XP_012761346.2	*	XP_034421829.1	XP_028531550.1
3	3	0.984	*	XP_019970769.1	*	XP_034421827.1	XP_028531548.1
3	3	0.846	*	XP_012761343.2	*	XP_034421826.1	XP_028531547.1
3	3	0.971	*	XP_012761342.2	*	XP_034421825.1	XP_028531546.1
3	3	0.922	*	XP_012761341.2	*	XP_034421824.1	XP_028531545.1
3	3	0.765	*	XP_012761340.2	*	XP_034421823.1	XP_028531544.1
3	3	0.967	*	XP_012761339.2	*	XP_034421822.1	XP_028531542.1
3	3	0.903	*	XP_012761338.2	*	XP_034421821.1	XP_028531541.1
3	3	0.914	*	XP_019970767.1	*	XP_034421819.1	XP_028531539.1
3	3	0.834	*	XP_012761334.1	*	XP_034421817.1	XP_028531537.1
3	3	0.79	*	XP_012761333.2	*	XP_034421816.1	XP_028531536.1
3	3	0.814	*	XP_019970766.1	*	XP_034421815.1	XP_028531535.1
3	3	0.9	*	XP_012761330.2	*	XP_034421813.1	XP_028531533.1
3	3	0.942	*	XP_012761329.2	*	XP_034421811.1	XP_028531531.1
3	3	0.961	*	XP_012765342.2	*	XP_034421951.1	XP_028535864.1
3	3	0.795	*	XP_019970764.1	*	XP_034421809.1	XP_028531529.1
3	3	0.956	*	XP_012763444.2	*	XP_034421787.1	XP_028532914.1
3	3	0.942	*	XP_012763445.2	*	XP_034421786.1	XP_028532915.1
3	3	0.968	*	XP_012763446.2	*	XP_034421785.1	XP_028532916.1
3	3	0.888	*	XP_012763449.1	*	XP_034421782.1	XP_028532920.1
3	3	0.832	*	XP_012763451.1	*	XP_034421780.1	XP_028532922.1
3	3	0.777	*	XP_019970282.1	*	XP_034421778.1	XP_028532924.1
3	3	0.897	*	XP_012763455.2	*	XP_034421776.1	XP_028532926.1
3	3	0.927	*	XP_012763456.2	*	XP_034421775.1	XP_028532927.1
3	3	0.928	*	XP_019970288.1	*	XP_034421769.1	XP_028532933.1
3	3	0.803	*	XP_012763463.2	*	XP_034421768.1	XP_028532934.1
3	3	0.95	*	XP_012763465.1	*	XP_034421766.1	XP_028532936.1
3	3	0.913	*	XP_012763466.2	*	XP_034421765.1	XP_028532937.1
3	3	0.742	*	XP_012763469.1	*	XP_034421762.1	XP_028532940.1
3	3	0.931	*	XP_012765185.2	*	XP_034422104.1	XP_028536022.1
3	3	0.877	*	XP_012765160.2	*	XP_034422128.1	XP_028536047.1
3	3	0.951	*	XP_012765161.2	*	XP_034422127.1	XP_028536046.1
3	3	0.974	*	XP_012765162.2	*	XP_034422126.1	XP_028536045.1
3	3	0.854	*	XP_012765165.2	*	XP_034422123.1	XP_028536042.1
3	3	0.781	*	XP_019969919.1	*	XP_034422121.1	XP_028536040.1
3	3	0.904	*	XP_012765169.2	*	XP_034422119.1	XP_028536038.1
3	3	0.907	*	XP_012765171.2	*	XP_034422117.1	XP_028536036.1
3	3	0.973	*	XP_012765173.2	*	XP_034422115.1	XP_028536034.1
3	3	0.863	*	XP_012765175.1	*	XP_034422113.1	XP_028536032.1
3	3	0.886	*	XP_012765176.2	*	XP_034422112.1	XP_028536031.1
3	3	0.954	*	XP_012765177.2	*	XP_034422111.1	XP_028536030.1
3	3	0.983	*	XP_012765179.2	*	XP_034422109.1	XP_028536028.1
3	3	0.958	*	XP_012765180.2	*	XP_034422108.1	XP_028536027.1
3	3	0.94	*	XP_019969922.1	*	XP_034422106.1	XP_028536025.1
3	3	0.871	*	XP_012765183.1	*	XP_034422105.1	XP_028536024.1
3	3	0.915	*	XP_012765157.1	*	XP_034422131.1	XP_028536050.1
3	3	0.742	*	XP_019969923.1	*	XP_034422103.1	XP_028536021.1
3	3	0.463	*	XP_019969925.1	*	XP_034422101.1	XP_028536019.1
3	3	0.934	*	XP_012765189.1	*	XP_034422100.1	XP_028536018.1
3	3	0.917	*	XP_012765191.2	*	XP_034422098.1	XP_028536016.1
3	3	0.718	*	XP_019969930.1	*	XP_034422096.1	XP_028536014.1
3	3	0.725	*	XP_012765194.2	*	XP_034422095.1	XP_028536013.1
3	3	0.758	*	XP_012765195.2	*	XP_034422094.1	XP_028536012.1
2	2	1	*	XP_012765196.2	*	XP_034422093.1	*
3	3	0.938	*	XP_012765198.2	*	XP_034422092.1	XP_028536009.1
3	3	0.902	*	XP_012765205.2	*	XP_034422085.1	XP_028536002.1
3	3	0.869	*	XP_012765206.2	*	XP_034422084.1	XP_028536001.1
3	3	0.916	*	XP_019969933.1	*	XP_034422075.1	XP_028535992.1
3	3	0.874	*	XP_019969935.1	*	XP_034422071.1	XP_028535988.1
3	3	0.871	*	XP_012765224.1	*	XP_034422066.1	XP_028535983.1
3	3	0.715	*	XP_012765121.2	*	XP_034422164.1	XP_028536084.1
3	3	0.846	*	XP_012765085.2	*	XP_034422197.1	XP_028536120.1
3	3	0.899	*	XP_012765088.2	*	XP_034422194.1	XP_028536117.1
3	3	0.724	*	XP_012765092.2	*	XP_034422190.1	XP_028536113.1
3	3	0.954	*	XP_012765094.2	*	XP_034422188.1	XP_028536111.1
3	3	0.912	*	XP_012765096.2	*	XP_034422186.1	XP_028536109.1
3	3	0.798	*	XP_012765099.2	*	XP_034422183.1	XP_028536106.1
3	3	0.813	*	XP_012765101.2	*	XP_034422181.1	XP_028536104.1
3	3	0.908	*	XP_012765103.1	*	XP_034422180.1	XP_028536102.1
3	3	0.965	*	XP_012765111.1	*	XP_034422173.1	XP_028536095.1
3	3	0.887	*	XP_012765113.1	*	XP_034422172.1	XP_028536092.1
3	3	0.993	*	XP_012765114.2	*	XP_034422171.1	XP_028536091.1
3	3	0.925	*	XP_012765115.2	*	XP_034422170.1	XP_028536090.1
3	3	0.935	*	XP_012765117.2	*	XP_034422168.1	XP_028536088.1
3	3	0.951	*	XP_012765118.2	*	XP_034422167.1	XP_028536087.1
3	3	0.914	*	XP_012765119.2	*	XP_034422166.1	XP_028536086.1
3	3	0.99	*	XP_012765227.2	*	XP_034422063.1	XP_028535980.1
3	3	0.993	*	XP_012765122.2	*	XP_034422163.1	XP_028536083.1
3	3	0.905	*	XP_019969911.1	*	XP_034422162.1	XP_028536082.1
3	3	0.915	*	XP_012765125.2	*	XP_034422160.1	XP_028536079.1
3	3	0.977	*	XP_012765126.2	*	XP_034422159.1	XP_028536078.1
3	3	0.875	*	XP_012765127.2	*	XP_034422158.1	XP_028536077.1
3	3	0.966	*	XP_012765128.2	*	XP_034422157.1	XP_028536076.1
3	3	0.942	*	XP_012765129.2	*	XP_034422156.1	XP_028536075.1
3	3	0.984	*	XP_012765130.2	*	XP_034422155.1	XP_028536074.1
3	3	0.742	*	XP_012765138.2	*	XP_034422147.1	XP_028536066.1
3	3	0.82	*	XP_012765146.2	*	XP_034422142.1	XP_028536061.1
3	3	0.847	*	XP_019969915.1	*	XP_034422139.1	XP_028536059.1
3	3	0.953	*	XP_019969916.1	*	XP_034422137.1	XP_028536056.1
3	3	0.888	*	XP_012765152.2	*	XP_034422136.1	XP_028536055.1
3	3	0.935	*	XP_019969917.1	*	XP_034422134.1	XP_028536053.1
3	3	0.921	*	XP_012765315.2	*	XP_034421977.1	XP_028535892.1
3	3	0.903	*	XP_012765285.2	*	XP_034422006.1	XP_028535922.1
3	3	0.97	*	XP_019969949.1	*	XP_034422004.1	XP_028535920.1
3	3	0.894	*	XP_012765289.2	*	XP_034422002.1	XP_028535918.1
3	3	0.898	*	XP_019969950.1	*	XP_034422001.1	XP_028535917.1
3	3	0.771	*	XP_012765295.2	*	XP_034421996.1	XP_028535912.1
3	3	0.768	*	XP_012765296.2	*	XP_034421995.1	XP_028535911.1
3	3	0.956	*	XP_012765299.2	*	XP_034421992.1	XP_028535908.1
3	3	0.908	*	XP_019969956.1	*	XP_034421991.1	XP_028535907.1
3	3	0.868	*	XP_012765301.2	*	XP_034421990.1	XP_028535906.1
3	3	0.957	*	XP_012765302.2	*	XP_034421989.1	XP_028535905.1
3	3	0.901	*	XP_012765304.1	*	XP_034421988.1	XP_028535903.1
3	3	0.741	*	XP_012765306.2	*	XP_034421986.1	XP_028535901.1
3	3	0.985	*	XP_012765311.2	*	XP_034421981.1	XP_028535896.1
3	3	0.793	*	XP_019969958.1	*	XP_034421979.1	XP_028535894.1
3	3	0.933	*	XP_012765314.2	*	XP_034421978.1	XP_028535893.1
3	3	0.78	*	XP_012765284.2	*	XP_034422007.1	XP_028535923.1
3	3	0.979	*	XP_012765317.2	*	XP_034421975.1	XP_028535890.1
3	3	0.941	*	XP_012765318.2	*	XP_034421974.1	XP_028535889.1
3	3	0.591	*	XP_019969959.1	*	XP_034421973.1	XP_028535887.1
3	3	0.919	*	XP_012765320.2	*	XP_034421972.1	XP_028535886.1
3	3	0.727	*	XP_019969960.1	*	XP_034421971.1	XP_028535885.1
3	3	0.785	*	XP_012765324.1	*	XP_034421968.1	XP_028535882.1
3	3	0.905	*	XP_012765325.1	*	XP_034421967.1	XP_028535881.1
3	3	0.852	*	XP_012765327.2	*	XP_034421965.1	XP_028535879.1
3	3	0.893	*	XP_012765329.2	*	XP_034421963.1	XP_028535877.1
3	3	0.83	*	XP_019969964.1	*	XP_034421961.1	XP_028535874.1
3	3	0.805	*	XP_012765334.2	*	XP_034421959.1	XP_028535872.1
3	3	0.933	*	XP_012765336.2	*	XP_034421957.1	XP_028535870.1
3	3	0.923	*	XP_012765338.1	*	XP_034421955.1	XP_028535868.1
3	3	0.892	*	XP_012765341.2	*	XP_034421952.1	XP_028535865.1
3	3	0.76	*	XP_012765254.1	*	XP_034422036.1	XP_028535953.1
3	3	0.973	*	XP_012765228.2	*	XP_034422062.1	XP_028535979.1
3	3	0.941	*	XP_012765232.1	*	XP_034422058.1	XP_028535975.1
3	3	0.909	*	XP_012765235.2	*	XP_034422055.1	XP_028535972.1
3	3	0.896	*	XP_012765236.2	*	XP_034422054.1	XP_028535971.1
3	3	0.954	*	XP_012765237.2	*	XP_034422053.1	XP_028535970.1
3	3	0.897	*	XP_012765238.2	*	XP_034422052.1	XP_028535969.1
3	3	0.751	*	XP_012765240.2	*	XP_034422050.1	XP_028535967.1
3	3	0.902	*	XP_012765245.2	*	XP_034422045.1	XP_028535962.1
3	3	0.856	*	XP_012765246.1	*	XP_034422044.1	XP_028535961.1
3	3	0.86	*	XP_012765249.2	*	XP_034422041.1	XP_028535958.1
3	3	0.921	*	XP_012765250.2	*	XP_034422040.1	XP_028535957.1
3	3	0.928	*	XP_012765251.2	*	XP_034422039.1	XP_028535956.1
3	3	0.949	*	XP_012765252.1	*	XP_034422038.1	XP_028535955.1
3	3	0.771	*	XP_019969937.1	*	XP_034422037.1	XP_028535954.1
3	3	0.899	*	XP_012763527.2	*	XP_034421704.1	XP_028532998.1
3	3	0.799	*	XP_019969938.1	*	XP_034422035.1	XP_028535952.1
3	3	0.877	*	XP_012765259.2	*	XP_034422031.1	XP_028535948.1
3	3	0.743	*	XP_012765260.2	*	XP_034422030.1	XP_028535947.1
3	3	0.881	*	XP_012765261.2	*	XP_034422029.1	XP_028535946.1
3	3	0.908	*	XP_012765264.2	*	XP_034422026.1	XP_028535943.1
3	3	0.892	*	XP_012765265.2	*	XP_034422025.1	XP_028535942.1
3	3	0.633	*	XP_012765266.2	*	XP_034422024.1	XP_028535941.1
3	3	0.875	*	XP_012765267.2	*	XP_034422023.1	XP_028535940.1
3	3	0.909	*	XP_019969941.1	*	XP_034422021.1	XP_028535938.1
3	3	0.836	*	XP_012765270.2	*	XP_034422020.1	XP_028535937.1
3	3	0.883	*	XP_019969946.1	*	XP_034422016.1	XP_028535932.1
3	3	0.96	*	XP_012765280.2	*	XP_034422011.1	XP_028535927.1
3	3	0.839	*	XP_019969947.1	*	XP_034422010.1	XP_028535926.1
3	3	0.884	*	XP_012765282.2	*	XP_034422009.1	XP_028535925.1
3	3	0.852	*	XP_019970370.1	*	XP_034421384.1	XP_028533331.1
3	3	0.943	*	XP_012763824.2	*	XP_034421414.1	XP_028533301.1
3	3	0.847	*	XP_019970362.1	*	XP_034421412.1	XP_028533303.1
3	3	0.961	*	XP_012763827.2	*	XP_034421411.1	XP_028533304.1
3	3	0.745	*	XP_019970363.1	*	XP_034421409.1	XP_028533306.1
3	3	0.748	*	XP_019970365.1	*	XP_034421406.1	XP_028533309.1
3	3	0.732	*	XP_019970366.1	*	XP_034421405.1	XP_028533310.1
3	3	0.628	*	XP_019970367.1	*	XP_034421404.1	XP_028533311.1
3	3	0.93	*	XP_012763835.2	*	XP_034421403.1	XP_028533312.1
3	3	0.658	*	XP_012763839.2	*	XP_034421399.1	XP_028533316.1
3	3	0.893	*	XP_012763841.2	*	XP_034421397.1	XP_028533318.1
3	3	0.937	*	XP_012763842.2	*	XP_034421396.1	XP_028533319.1
3	3	0.888	*	XP_012763843.2	*	XP_034421395.1	XP_028533320.1
3	3	0.52	*	XP_012763845.2	*	XP_034421393.1	XP_028533322.1
3	3	0.834	*	XP_012763847.2	*	XP_034421391.1	XP_028533324.1
3	3	0.879	*	XP_012763852.2	*	XP_034421386.1	XP_028533329.1
3	3	0.873	*	XP_012763822.1	*	XP_034421416.1	XP_028533299.1
3	3	0.9	*	XP_012763855.2	*	XP_034421383.1	XP_028533332.1
3	3	0.652	*	XP_019970374.1	*	XP_034421379.1	XP_028533336.1
3	3	0.842	*	XP_012763861.1	*	XP_034421377.1	XP_028533338.1
3	3	0.497	*	XP_012763866.2	*	XP_034421372.1	XP_028533343.1
3	3	0.899	*	XP_019970378.1	*	XP_034421371.1	XP_028533344.1
3	3	0.9	*	XP_012763868.2	*	XP_034421370.1	XP_028533345.1
3	3	0.9	*	XP_012763869.2	*	XP_034421369.1	XP_028533346.1
3	3	0.881	*	XP_012763871.2	*	XP_034421367.1	XP_028533348.1
3	3	0.904	*	XP_012763872.2	*	XP_034421366.1	XP_028533349.1
2	2	1	*	XP_012763875.2	*	XP_034421362.1	*
2	2	1	*	XP_012763876.2	*	XP_034421361.1	*
3	3	0.931	*	XP_019970533.1	*	XP_034421335.1	XP_028532573.1
3	3	0.926	*	XP_012763025.2	*	XP_034421334.1	XP_028532572.1
3	3	0.837	*	XP_012763022.2	*	XP_034421331.1	XP_028532569.1
3	3	0.971	*	XP_012763800.2	*	XP_034421438.1	XP_028533277.1
3	3	0.762	*	XP_019970353.1	*	XP_034421462.1	XP_028533253.1
3	3	0.936	*	XP_012763777.2	*	XP_034421461.1	XP_028533254.1
3	3	0.567	*	XP_012763779.2	*	XP_034421459.1	XP_028533256.1
3	3	0.913	*	XP_019970354.1	*	XP_034421458.1	XP_028533257.1
3	3	0.949	*	XP_012763781.1	*	XP_034421457.1	XP_028533258.1
3	3	0.88	*	XP_012763783.2	*	XP_034421455.1	XP_028533260.1
3	3	0.981	*	XP_012763785.2	*	XP_034421453.1	XP_028533262.1
3	3	0.928	*	XP_012763787.2	*	XP_034421451.1	XP_028533264.1
3	3	0.952	*	XP_019970355.1	*	XP_034421450.1	XP_028533265.1
3	3	0.587	*	XP_012763789.2	*	XP_034421449.1	XP_028533266.1
3	3	0.897	*	XP_019970356.1	*	XP_034421448.1	XP_028533267.1
3	3	0.866	*	XP_012763791.2	*	XP_034421447.1	XP_028533268.1
3	3	0.967	*	XP_012763795.2	*	XP_034421443.1	XP_028533272.1
3	3	0.963	*	XP_012763796.2	*	XP_034421442.1	XP_028533273.1
3	3	0.897	*	XP_012763799.2	*	XP_034421439.1	XP_028533276.1
3	3	0.803	*	XP_012763013.2	*	XP_034421322.1	XP_028532559.1
3	3	0.938	*	XP_012763801.1	*	XP_034421437.1	XP_028533278.1
3	3	0.965	*	XP_012763802.2	*	XP_034421436.1	XP_028533279.1
3	3	0.655	*	XP_012763803.2	*	XP_034421435.1	XP_028533280.1
3	3	0.876	*	XP_012763805.2	*	XP_034421433.1	XP_028533282.1
3	3	0.918	*	XP_012763806.2	*	XP_034421432.1	XP_028533283.1
2	2	1	*	XP_019970358.1	*	XP_034421431.1	*
3	3	0.93	*	XP_019970359.1	*	XP_034421428.1	XP_028533287.1
3	3	0.914	*	XP_012763811.2	*	XP_034421427.1	XP_028533288.1
3	3	0.85	*	XP_012763812.1	*	XP_034421426.1	XP_028533289.1
3	3	0.905	*	XP_012763816.2	*	XP_034421422.1	XP_028533293.1
3	3	0.985	*	XP_019970360.1	*	XP_034421421.1	XP_028533294.1
3	3	0.93	*	XP_012763818.2	*	XP_034421420.1	XP_028533295.1
3	3	0.814	*	XP_012763819.1	*	XP_034421419.1	XP_028533296.1
3	3	0.919	*	XP_012763820.2	*	XP_034421418.1	XP_028533297.1
3	3	0.969	*	XP_019970505.1	*	XP_034421243.1	XP_028532480.1
3	3	0.75	*	XP_012762961.2	*	XP_034421269.1	XP_028532505.1
3	3	0.663	*	XP_019970514.1	*	XP_034421268.1	XP_028532504.1
3	3	0.748	*	XP_012762959.2	*	XP_034421267.1	XP_028532503.1
3	3	0.881	*	XP_012762958.2	*	XP_034421266.1	XP_028532502.1
3	3	0.981	*	XP_019970513.1	*	XP_034421264.1	XP_028532500.1
3	3	0.655	*	XP_019970512.1	*	XP_034421263.1	XP_028532499.1
3	3	0.885	*	XP_012762954.2	*	XP_034421261.1	XP_028532498.1
3	3	0.912	*	XP_012762949.2	*	XP_034421256.1	XP_028532493.1
3	3	0.852	*	XP_012762947.2	*	XP_034421254.1	XP_028532491.1
3	3	0.895	*	XP_012762942.1	*	XP_034421249.1	XP_028532486.1
3	3	0.84	*	XP_012762941.2	*	XP_034421248.1	XP_028532485.1
3	3	0.87	*	XP_012762940.2	*	XP_034421247.1	XP_028532484.1
3	3	0.789	*	XP_012762939.2	*	XP_034421246.1	XP_028532483.1
3	3	0.702	*	XP_012762938.2	*	XP_034421245.1	XP_028532482.1
3	3	0.954	*	XP_019970506.1	*	XP_034421244.1	XP_028532481.1
3	3	0.956	*	XP_012762963.1	*	XP_034421271.1	XP_028532507.1
3	3	0.804	*	XP_019970504.1	*	XP_034421242.1	XP_028532479.1
3	3	0.841	*	XP_012762933.2	*	XP_034421240.1	XP_028532477.1
3	3	0.785	*	XP_012762932.1	*	XP_034421239.1	XP_028532476.1
3	3	0.84	*	XP_012762931.2	*	XP_034421238.1	XP_028532475.1
3	3	0.989	*	XP_012762926.2	*	XP_034421233.1	XP_028532470.1
3	3	0.92	*	XP_012762925.2	*	XP_034421232.1	XP_028532469.1
3	3	0.721	*	XP_019970503.1	*	XP_034421230.1	XP_028532467.1
3	3	0.603	*	XP_019970501.1	*	XP_034421229.1	XP_028532465.1
3	3	0.905	*	XP_019970500.1	*	XP_034421226.1	XP_028532462.1
3	3	0.963	*	XP_012762916.2	*	XP_034421224.1	XP_028532460.1
3	3	0.983	*	XP_012762915.2	*	XP_034421223.1	XP_028532459.1
3	3	0.908	*	XP_012762914.2	*	XP_034421222.1	XP_028532458.1
3	3	0.883	*	XP_012762909.2	*	XP_034421217.1	XP_028532453.1
3	3	0.926	*	XP_012762906.2	*	XP_034421214.1	XP_028532450.1
3	3	0.677	*	XP_012762988.1	*	XP_034421297.1	XP_028532534.1
3	3	0.947	*	XP_012763010.2	*	XP_034421319.1	XP_028532556.1
3	3	0.92	*	XP_019970530.1	*	XP_034421317.1	XP_028532554.1
3	3	0.872	*	XP_012763007.2	*	XP_034421316.1	XP_028532553.1
3	3	0.71	*	XP_012763006.2	*	XP_034421315.1	XP_028532552.1
3	3	0.705	*	XP_012763004.2	*	XP_034421313.1	XP_028532550.1
3	3	0.665	*	XP_012763003.2	*	XP_034421312.1	XP_028532549.1
3	3	0.839	*	XP_019970528.1	*	XP_034421311.1	XP_028532548.1
3	3	0.946	*	XP_012763001.2	*	XP_034421310.1	XP_028532547.1
3	3	0.969	*	XP_019970527.1	*	XP_034421308.1	XP_028532545.1
3	3	0.819	*	XP_019970526.1	*	XP_034421307.1	XP_028532544.1
3	3	0.893	*	XP_019970523.1	*	XP_034421303.1	XP_028532540.1
3	3	0.893	*	XP_012762993.2	*	XP_034421302.1	XP_028532539.1
3	3	0.91	*	XP_012762992.2	*	XP_034421301.1	XP_028532538.1
3	3	0.989	*	XP_012762990.2	*	XP_034421299.1	XP_028532536.1
3	3	0.927	*	XP_012763774.2	*	XP_034421464.1	XP_028533251.1
3	3	0.949	*	XP_012762985.2	*	XP_034421294.1	XP_028532531.1
3	3	0.916	*	XP_012762983.2	*	XP_034421292.1	XP_028532529.1
3	3	0.896	*	XP_019970520.1	*	XP_034421289.1	XP_028532526.1
3	3	0.856	*	XP_012762980.2	*	XP_034421288.1	XP_028532525.1
3	3	0.818	*	XP_012762978.2	*	XP_034421286.1	XP_028532523.1
3	3	0.763	*	XP_012762976.2	*	XP_034421284.1	XP_028532521.1
3	3	0.871	*	XP_019970518.1	*	XP_034421283.1	XP_028532519.1
3	3	0.985	*	XP_012762974.2	*	XP_034421282.1	XP_028532518.1
3	3	0.957	*	XP_012762973.2	*	XP_034421281.1	XP_028532517.1
3	3	0.495	*	XP_012762972.2	*	XP_034421280.1	XP_028532516.1
3	3	0.914	*	XP_012762970.2	*	XP_034421278.1	XP_028532514.1
3	3	0.579	*	XP_019970516.1	*	XP_034421275.1	XP_028532511.1
3	3	0.762	*	XP_019970515.1	*	XP_034421273.1	XP_028532509.1
3	3	0.989	*	XP_012762964.2	*	XP_034421272.1	XP_028532508.1
3	3	0.867	*	XP_012763618.1	*	XP_034421617.1	XP_028533089.1
3	3	0.83	*	XP_012763594.2	*	XP_034421639.1	XP_028533065.1
3	3	0.955	*	XP_012763596.2	*	XP_034421637.1	XP_028533067.1
3	3	0.945	*	XP_012763598.2	*	XP_034421635.1	XP_028533069.1
3	3	0.6	*	XP_012763599.2	*	XP_034421634.1	XP_028533070.1
3	3	0.934	*	XP_019970314.1	*	XP_034421633.1	XP_028533072.1
3	3	0.802	*	XP_019970316.1	*	XP_034421630.1	XP_028533075.1
3	3	0.957	*	XP_012763605.2	*	XP_034421629.1	XP_028533076.1
3	3	0.967	*	XP_012763607.2	*	XP_034421628.1	XP_028533078.1
3	3	0.935	*	XP_012763610.1	*	XP_034421625.1	XP_028533081.1
2	2	1	*	XP_012763611.1	*	XP_034421624.1	*
3	3	0.637	*	XP_012763613.2	*	XP_034421622.1	XP_028533084.1
3	3	0.913	*	XP_012763614.1	*	XP_034421621.1	XP_028533085.1
3	3	0.828	*	XP_012763615.2	*	XP_034421620.1	XP_028533086.1
3	3	0.955	*	XP_012763616.1	*	XP_034421619.1	XP_028533087.1
